iso3,num_occurences
AUS,186
AUT,473
BEL,83
BMU,5
BOL,44
BRA,297
BGR,38
CAN,644
CHL,110
CHN,2043
COL,140
CRI,229
CUB,101
CYP,243
DNK,50
DOM,11
ECU,36
EGY,265
ERI,2
ETH,17
FIN,58
FRA,728
GEO,22
DEU,1993
GIB,6
GRC,111
GUM,4
GTM,140
HTI,37
HND,26
HKG,21
HUN,132
ISL,14
IND,606
IDN,19
IRN,76
IRQ,33
IRL,25
ISR,97
ITA,494
JAM,5
JPN,695
JOR,8
KEN,17
LBN,18
LBR,12
LBY,18
LIE,1
LUX,6
MAC,4
MLT,16
MEX,93
MCO,7
MAR,39
MOZ,1
NPL,26
NLD,129
NZL,24
NIC,38
NGA,5
NOR,57
OMN,4
PAK,213
PAN,104
PRY,20
PER,65
PHL,35
POL,185
PRT,29
PRI,95
SAU,37
SLE,5
SGP,116
ESP,159
SDN,50
SWE,60
CHE,43
SYR,41
THA,100
TTO,1
TTO,1
TUN,31
TUR,145
UGA,8
URY,55
VAT,1
VAT,3
VEN,39
VNM,1
YEM,21
