iso3,num_occurences
AUS,128
AUT,371
BHS,3
BEL,35
BMU,10
BOL,99
BRA,348
BRN,1
BGR,45
CAN,643
CHL,115
CHN,673
COL,158
CRI,50
CUB,179
CYP,7
DNK,65
DOM,7
ECU,102
EGY,561
ETH,17
FLK,1
FIN,77
FRA,777
GMB,1
GEO,16
DEU,2678
GIB,6
GRC,226
GRL,5
GUM,8
GTM,144
HTI,18
HND,4
HKG,33
HUN,156
ISL,20
IND,647
IDN,13
IRN,594
IRQ,34
IRL,4
ISR,133
ITA,409
JAM,2
JPN,624
KEN,32
KWT,6
LBN,29
LBR,10
LBY,17
LUX,4
MAC,1
MLT,2
MUS,1
MEX,167
MCO,1
MAR,25
MOZ,1
NPL,23
NLD,152
PNG,1
NZL,26
NIC,21
NGA,6
NOR,41
PAK,316
PAN,38
PRY,17
PER,59
PHL,9
POL,157
PRT,27
PRI,97
SAU,43
SLE,1
SGP,9
SLB,1
ESP,242
SWE,57
CHE,55
SYR,32
THA,10
TTO,4
TTO,6
TUN,26
TUR,110
UGA,2
URY,25
VAT,1
VEN,65
YEM,3
