iso3,num_occurences
AUS,90
AUT,303
AZE,4
BEL,84
BMU,6
BOL,8
BRA,89
BGR,82
KHM,1
CMR,1
CAN,323
CHL,45
CHN,436
COL,17
CRI,3
CUB,115
DNK,36
ECU,11
EGY,220
ETH,1
FRO,1
FIN,20
FRA,1385
GEO,2
DEU,2118
GIB,2
GRC,159
GRL,3
GTM,11
HTI,23
HND,83
HUN,206
ISL,14
IND,139
IRL,270
ITA,592
JAM,25
JPN,384
LVA,9
LBN,3
LBR,1
LBY,1
LTU,9
MAC,1
MKD,20
MDG,1
MYS,2
MLT,2
MEX,860
MCO,1
MNG,10
MAR,96
NLD,1
PNG,1
NZL,9
NIC,32
NOR,34
PAN,27
PRY,3
PER,37
POL,120
PRT,21
RUS,1146
WSM,1
SEN,2
SRB,8
SGP,18
ZAF,23
ESP,134
SDN,53
SWZ,1
SWE,88
CHE,42
SYR,14
TUR,163
UKR,17
URY,5
VAT,3
VEN,11
