iso3,num_occurences
AUS,128
AUT,494
BRB,1
BEL,148
BMU,39
BOL,34
BRA,168
BGR,141
CAN,601
CHL,75
CHN,1213
COL,284
CRI,192
CUB,163
CYP,20
DNK,55
DOM,10
ECU,65
EGY,122
SLV,3
ERI,7
ETH,11
FLK,5
FIN,160
FRA,1559
GUF,1
GEO,58
DEU,3915
GIB,3
GRC,658
GRL,6
GUM,13
GTM,90
HTI,16
HND,21
HKG,25
HUN,259
ISL,8
IND,704
IDN,2
IRN,82
IRQ,43
IRL,40
ISR,8
ITA,964
JAM,7
JPN,721
KEN,2
LBN,32
LBR,13
LBY,7
LTU,1
LUX,8
MDG,1
MLT,1
MEX,145
MCO,3
MAR,16
NPL,6
NLD,217
PNG,7
NZL,57
NIC,66
NGA,4
NOR,68
PAK,85
PAN,83
PRY,42
PER,84
PHL,1
POL,304
PRT,48
PRI,91
WSM,13
SAU,8
SGP,17
SLB,1
ZAF,2
ESP,265
SDN,1
SWE,86
CHE,69
SYR,37
TTO,2
TUN,1
TUR,157
URY,24
VAT,3
VEN,107
YEM,19
