iso3,num_occurences
ATG,1
AUS,112
AUT,29
AZE,19
BHR,4
BGD,6
BRB,2
BLR,21
BEL,49
BLZ,5
BEN,1
BMU,7
BTN,3
BOL,11
BIH,50
BWA,1
BRA,362
BRN,1
BGR,21
BDI,3
KHM,50
CMR,1
CAN,223
CYM,5
TCD,1
CHL,65
CHN,965
COL,89
COK,1
CRI,4
HRV,35
CUB,162
CYP,14
CZE,39
DNK,31
DMA,2
DOM,21
ECU,27
EGY,66
SLV,24
ERI,12
EST,1
ETH,17
FLK,1
FJI,2
FIN,26
FRA,422
GAB,4
GMB,1
GEO,39
DEU,384
GHA,14
GRC,59
GRL,2
GUM,3
GTM,33
GIN,8
GNB,1
GUY,1
HTI,30
HND,22
HKG,85
HUN,44
ISL,11
IND,226
IDN,286
IRN,126
IRQ,208
IRL,66
IMN,1
ISR,601
ITA,240
JAM,2
JPN,616
JOR,74
KAZ,8
KEN,57
KWT,11
KGZ,11
LVA,6
LBN,39
LSO,2
LBR,4
LBY,31
LTU,3
LUX,11
MAC,9
MKD,1
MDG,5
MWI,2
MYS,46
MLI,2
MLT,2
MRT,2
MEX,316
MDA,3
MCO,1
MNG,2
MNE,33
MAR,22
MOZ,9
MMR,8
NAM,7
NPL,9
NLD,42
NZL,35
NIC,10
NGA,70
MNP,1
NOR,36
OMN,2
PAK,138
PAN,26
PNG,4
PRY,14
PER,35
PHL,11
POL,77
PRT,32
PRI,75
QAT,6
ROU,20
RUS,986
RWA,38
WSM,1
SAU,39
SEN,6
SRB,2053
SLE,25
SGP,27
SVK,7
SVN,7
SLB,1
SOM,6
ZAF,156
ESP,91
LKA,8
SDN,31
SWZ,1
SWE,32
CHE,71
SYR,104
TWN,109
TJK,2
TZA,43
THA,38
TGO,7
TON,2
TTO,1
TUN,3
TUR,215
TKM,3
UGA,24
UKR,35
ARE,4
URY,14
UZB,7
VUT,1
VAT,6
VEN,55
VNM,34
YEM,7
ZMB,6
ZWE,15
