country,date
Peru,1997-01-01T05:00:00+0000
Singapore,1997-01-01T05:00:00+0000
Serbia,1997-01-01T05:00:00+0000
Puerto Rico,1997-01-01T05:00:00+0000
Israel,1997-01-01T05:00:00+0000
Russia,1997-01-01T05:00:00+0000
Belarus,1997-01-01T05:00:00+0000
Japan,1997-01-01T05:00:00+0000
Peru,1997-01-01T05:00:00+0000
Italy,1997-01-01T05:00:00+0000
China,1997-01-01T05:00:00+0000
Iran,1997-01-01T05:00:00+0000
Panama,1997-01-01T05:00:00+0000
Switzerland,1997-01-01T05:00:00+0000
France,1997-01-01T05:00:00+0000
Bosnia and Herzegovina,1997-01-01T05:00:00+0000
Germany,1997-01-01T05:00:00+0000
France,1997-01-01T05:00:00+0000
Japan,1997-01-01T05:00:00+0000
Hong Kong,1997-01-01T05:00:00+0000
Mexico,1997-01-01T05:00:00+0000
Indonesia,1997-01-01T05:00:00+0000
China,1997-01-01T05:00:00+0000
Germany,1997-01-01T05:00:00+0000
Colombia,1997-01-01T05:00:00+0000
Spain,1997-01-01T05:00:00+0000
Japan,1997-01-01T05:00:00+0000
Peru,1997-01-01T05:00:00+0000
Germany,1997-01-01T05:00:00+0000
Colombia,1997-01-01T05:00:00+0000
Bosnia and Herzegovina,1997-01-01T05:00:00+0000
Iran,1997-01-01T05:00:00+0000
Hong Kong,1997-01-02T05:00:00+0000
China,1997-01-02T05:00:00+0000
Serbia,1997-01-02T05:00:00+0000
Bosnia and Herzegovina,1997-01-02T05:00:00+0000
Cambodia,1997-01-02T05:00:00+0000
China,1997-01-02T05:00:00+0000
Japan,1997-01-02T05:00:00+0000
Israel,1997-01-02T05:00:00+0000
Japan,1997-01-02T05:00:00+0000
Israel,1997-01-02T05:00:00+0000
Iraq,1997-01-02T05:00:00+0000
Russia,1997-01-02T05:00:00+0000
Japan,1997-01-02T05:00:00+0000
Peru,1997-01-02T05:00:00+0000
China,1997-01-02T05:00:00+0000
Mexico,1997-01-02T05:00:00+0000
Iraq,1997-01-02T05:00:00+0000
Japan,1997-01-02T05:00:00+0000
Germany,1997-01-02T05:00:00+0000
Hungary,1997-01-02T05:00:00+0000
Israel,1997-01-02T05:00:00+0000
Georgia,1997-01-02T05:00:00+0000
Japan,1997-01-03T05:00:00+0000
Peru,1997-01-03T05:00:00+0000
Montenegro,1997-01-03T05:00:00+0000
Israel,1997-01-03T05:00:00+0000
Turkey,1997-01-03T05:00:00+0000
Egypt,1997-01-03T05:00:00+0000
Saudi Arabia,1997-01-03T05:00:00+0000
Serbia,1997-01-03T05:00:00+0000
Canada,1997-01-03T05:00:00+0000
Israel,1997-01-03T05:00:00+0000
Brazil,1997-01-03T05:00:00+0000
New Zealand,1997-01-03T05:00:00+0000
Bulgaria,1997-01-03T05:00:00+0000
Canada,1997-01-03T05:00:00+0000
Japan,1997-01-03T05:00:00+0000
Hong Kong,1997-01-03T05:00:00+0000
China,1997-01-03T05:00:00+0000
South Africa,1997-01-03T05:00:00+0000
China,1997-01-03T05:00:00+0000
Nigeria,1997-01-03T05:00:00+0000
Taiwan,1997-01-03T05:00:00+0000
Sweden,1997-01-03T05:00:00+0000
Russia,1997-01-03T05:00:00+0000
Israel,1997-01-03T05:00:00+0000
Russia,1997-01-03T05:00:00+0000
Belarus,1997-01-03T05:00:00+0000
Canada,1997-01-03T05:00:00+0000
Georgia,1997-01-03T05:00:00+0000
Philippines,1997-01-03T05:00:00+0000
Sweden,1997-01-04T05:00:00+0000
China,1997-01-04T05:00:00+0000
Canada,1997-01-04T05:00:00+0000
Cuba,1997-01-04T05:00:00+0000
Mexico,1997-01-04T05:00:00+0000
Russia,1997-01-04T05:00:00+0000
Peru,1997-01-04T05:00:00+0000
Israel,1997-01-04T05:00:00+0000
Israel,1997-01-04T05:00:00+0000
Egypt,1997-01-04T05:00:00+0000
Israel,1997-01-04T05:00:00+0000
Turkey,1997-01-04T05:00:00+0000
Serbia,1997-01-04T05:00:00+0000
Egypt,1997-01-04T05:00:00+0000
Mexico,1997-01-04T05:00:00+0000
New Zealand,1997-01-05T05:00:00+0000
Russia,1997-01-05T05:00:00+0000
China,1997-01-05T05:00:00+0000
China,1997-01-05T05:00:00+0000
New Zealand,1997-01-05T05:00:00+0000
Russia,1997-01-05T05:00:00+0000
Germany,1997-01-05T05:00:00+0000
Russia,1997-01-05T05:00:00+0000
Indonesia,1997-01-05T05:00:00+0000
Japan,1997-01-05T05:00:00+0000
New Zealand,1997-01-05T05:00:00+0000
Canada,1997-01-05T05:00:00+0000
Israel,1997-01-05T05:00:00+0000
Serbia,1997-01-05T05:00:00+0000
Guatemala,1997-01-05T05:00:00+0000
Portugal,1997-01-05T05:00:00+0000
Russia,1997-01-05T05:00:00+0000
Cuba,1997-01-05T05:00:00+0000
Japan,1997-01-05T05:00:00+0000
China,1997-01-05T05:00:00+0000
Japan,1997-01-05T05:00:00+0000
Peru,1997-01-05T05:00:00+0000
China,1997-01-05T05:00:00+0000
Japan,1997-01-05T05:00:00+0000
Peru,1997-01-05T05:00:00+0000
France,1997-01-05T05:00:00+0000
Israel,1997-01-05T05:00:00+0000
Israel,1997-01-05T05:00:00+0000
China,1997-01-05T05:00:00+0000
Georgia,1997-01-06T05:00:00+0000
Egypt,1997-01-06T05:00:00+0000
Tajikistan,1997-01-06T05:00:00+0000
Egypt,1997-01-06T05:00:00+0000
Israel,1997-01-06T05:00:00+0000
South Africa,1997-01-06T05:00:00+0000
Russia,1997-01-06T05:00:00+0000
Bosnia and Herzegovina,1997-01-06T05:00:00+0000
Australia,1997-01-06T05:00:00+0000
Russia,1997-01-06T05:00:00+0000
Japan,1997-01-06T05:00:00+0000
Japan,1997-01-06T05:00:00+0000
Bolivia,1997-01-06T05:00:00+0000
Peru,1997-01-06T05:00:00+0000
Guatemala,1997-01-06T05:00:00+0000
Japan,1997-01-06T05:00:00+0000
Russia,1997-01-06T05:00:00+0000
China,1997-01-06T05:00:00+0000
Tunisia,1997-01-06T05:00:00+0000
Brazil,1997-01-06T05:00:00+0000
Mexico,1997-01-06T05:00:00+0000
Canada,1997-01-06T05:00:00+0000
Czech Republic,1997-01-06T05:00:00+0000
Mexico,1997-01-06T05:00:00+0000
Georgia,1997-01-06T05:00:00+0000
Israel,1997-01-07T05:00:00+0000
Canada,1997-01-07T05:00:00+0000
Israel,1997-01-07T05:00:00+0000
Russia,1997-01-07T05:00:00+0000
Papua New Guinea,1997-01-07T05:00:00+0000
Mexico,1997-01-07T05:00:00+0000
Russia,1997-01-07T05:00:00+0000
Canada,1997-01-07T05:00:00+0000
Sri Lanka,1997-01-07T05:00:00+0000
Israel,1997-01-07T05:00:00+0000
Dominican Republic,1997-01-07T05:00:00+0000
Japan,1997-01-07T05:00:00+0000
Peru,1997-01-07T05:00:00+0000
Germany,1997-01-07T05:00:00+0000
Morocco,1997-01-08T05:00:00+0000
Switzerland,1997-01-08T05:00:00+0000
South Africa,1997-01-08T05:00:00+0000
Iraq,1997-01-08T05:00:00+0000
Switzerland,1997-01-08T05:00:00+0000
Germany,1997-01-08T05:00:00+0000
Israel,1997-01-08T05:00:00+0000
