iso3,num_occurences
ALA,3
ATG,3
AUS,384
AUT,42
AZE,1
BHR,10
BGD,37
BRB,9
BLR,9
BEL,45
BLZ,1
BEN,4
BMU,4
BTN,2
BOL,36
BES,3
BIH,10
BWA,8
BRA,170
IOT,2
BRN,8
BGR,16
BFA,11
BDI,1
KHM,21
CMR,5
CAN,425
CYM,1
CAF,3
TCD,2
CHL,44
CHN,1293
CCK,1
COL,56
COK,1
CRI,15
HRV,14
CUB,63
CYP,6
CZE,23
DNK,48
DJI,1
DOM,15
ECU,22
EGY,69
SLV,44
GNQ,4
ERI,4
EST,9
ETH,39
FLK,1
FRO,2
FJI,1
FIN,20
FRA,383
GUF,2
GAB,3
GMB,10
GEO,89
DEU,265
GHA,10
GIB,9
GRC,65
GRL,30
GUM,2
GTM,67
GIN,3
GUY,2
HTI,13
HND,52
HKG,418
HUN,45
ISL,14
IND,326
IDN,79
IRN,480
IRQ,152
IRL,84
ISR,378
ITA,200
JPN,292
JOR,11
KAZ,17
KEN,33
KIR,4
KWT,6
KGZ,3
LVA,5
LBN,51
LBR,3
LBY,43
LIE,1
LTU,6
LUX,6
MKD,13
MDG,9
MWI,7
MYS,29
MDV,2
MLI,9
MLT,7
MHL,4
MTQ,1
MUS,6
MEX,344
FSM,2
MDA,4
MCO,3
MNG,6
MNE,5
MAR,25
MOZ,24
MMR,52
NAM,3
NRU,4
NPL,34
NLD,66
KNA,2
NCL,1
NZL,114
NIC,12
NER,13
NGA,40
NIU,1
MNP,1
NOR,37
OMN,4
PAK,144
PLW,2
PAN,5
PNG,6
PRY,6
PER,21
PHL,100
POL,66
PRT,16
PRI,100
QAT,28
ROU,25
RUS,570
RWA,13
WSM,4
STP,1
SAU,264
SEN,14
SRB,19
SLE,2
SGP,27
SVK,9
SVN,3
SLB,8
SOM,26
ZAF,68
SSD,10
ESP,117
LKA,69
SDN,67
SWZ,1
SWE,62
CHE,34
SYR,375
TWN,50
TJK,3
TZA,6
THA,60
TGO,1
TON,2
TTO,4
TUN,17
TUR,247
TKM,4
UGA,16
UKR,471
ARE,58
URY,6
UZB,4
VUT,3
VAT,8
VEN,220
VNM,61
YEM,59
ZMB,4
ZWE,29
