iso3,num_occurences
AUS,144
AUT,351
BHS,9
BEL,86
BMU,34
BOL,220
BRA,352
BGR,70
CAN,741
CHL,169
CHN,1917
COL,186
CRI,34
HRV,2
CUB,896
CYP,21
DNK,47
DOM,2
ECU,83
EGY,117
EST,12
FRO,1
FIN,88
FRA,912
GUF,7
GEO,75
DEU,1629
GRC,96
GRL,20
GUM,3
GTM,11
HTI,35
HND,62
HUN,251
ISL,11
IND,538
IRQ,51
IRL,127
IMN,3
ITA,423
JAM,12
JPN,225
LVA,8
LBR,28
LIE,2
LTU,18
MAC,1
MDG,1
MLT,5
MTQ,1
MUS,2
MEX,494
MCO,9
MAR,17
NLD,64
NZL,51
NIC,289
NGA,1
NOR,21
PAN,121
PRY,45
PER,174
POL,271
PRT,87
RUS,1256
SRB,2
SGP,1
ZAF,10
ESP,818
SWE,53
CHE,56
SYR,17
TTO,16
TUR,135
UGA,1
URY,173
VAT,75
VEN,45
