iso3,num_occurences
AUS,117
AUT,31
BHS,2
BEL,18
BMU,8
BTN,1
BOL,80
BWA,7
BRA,180
BRN,2
BGR,8
BDI,3
KHM,1943
CMR,6
CAN,630
CAF,4
CHL,226
CHN,70
COL,59
CRI,4
CUB,190
CYP,33
DNK,15
DOM,51
ECU,32
EGY,7
ETH,35
FJI,1
FIN,30
FRA,459
GMB,3
GEO,139
DEU,605
GHA,22
GRC,307
GRD,2
GTM,62
GUY,16
HTI,21
HND,21
HKG,19
HUN,35
ISL,4
IND,204
IRN,27
IRQ,67
IRL,1
ITA,435
JAM,4
JPN,409
KEN,23
KWT,6
LBN,64
LSO,24
LBR,3
LBY,140
LIE,3
LUX,2
MWI,2
MYS,42
MLT,3
MTQ,3
MEX,81
MCO,3
MAR,26
MOZ,8
NRU,1
NPL,9
NLD,41
NZL,24
NIC,8
NGA,243
NOR,19
PAK,104
PAN,11
PRY,10
PER,97
POL,240
PRT,46
PRI,96
QAT,2
RWA,3
SAU,8
SLE,3
SGP,31
SOM,11
ESP,205
SDN,23
SWZ,3
SWE,79
CHE,45
SYR,38
TZA,20
THA,98
TGO,6
TON,1
TTO,20
TUN,10
TUR,69
UGA,13
URY,80
VAT,7
VEN,38
VNM,6347
YEM,24
ZMB,44
