iso3,num_occurences
AUS,186
AUT,55
BRB,1
BEL,145
BMU,96
BOL,117
BRA,330
BGR,87
CAN,774
CHL,215
CHN,2323
COL,71
CRI,52
CUB,251
CYP,1
DNK,89
DOM,7
ECU,65
EGY,56
EST,23
ETH,29
FLK,2
FIN,164
FRA,1093
GEO,33
DEU,5088
GIB,4
GRC,64
GRL,1
GUM,3
GTM,28
HTI,15
HND,8
HKG,29
HUN,244
ISL,9
IND,168
IRN,17
IRQ,19
IRL,15
ITA,980
JAM,15
JPN,803
KEN,4
LVA,27
LBN,6
LBR,5
LBY,11
LTU,79
LUX,24
MAC,1
MLT,4
MTQ,3
MUS,1
MEX,515
MCO,1
MAR,9
NPL,2
NLD,223
PNG,7
NZL,72
NIC,146
NOR,46
PAN,46
PRY,23
PER,87
POL,242
PRT,45
PRI,178
RUS,9
SAU,6
ESP,149
SWE,19
CHE,34
SYR,1
TTO,1
TUN,4
TUR,27
URY,12
VAT,15
VEN,27
