iso3,num_occurences
AUS,91
AUT,25
BHS,1
BRB,5
BEL,49
BMU,14
BOL,91
BWA,6
BRA,174
BRN,1
BGR,25
BDI,1
KHM,110
CMR,4
CAN,443
CAF,3
TCD,1
CHL,78
CHN,21
COL,48
COK,1
CRI,10
CUB,356
CYP,50
DNK,34
DOM,33
ECU,28
EGY,18
ETH,18
FLK,3
FIN,30
FRA,1272
GUF,1
GEO,53
DEU,747
GHA,26
GIB,20
GRC,406
GRL,1
GLP,2
GUM,1
GTM,65
GIN,1
GUY,29
HTI,44
HND,4
HKG,46
HUN,60
ISL,14
IND,318
IDN,3
IRN,61
IRQ,75
IRL,5
ISR,1
ITA,330
JAM,18
JPN,336
JOR,1
KEN,24
KWT,7
LBN,46
LBR,17
LBY,12
LIE,5
LUX,6
MWI,6
MYS,63
MLI,2
MLT,2
MUS,17
MEX,204
MCO,1
MAR,12
MOZ,10
NRU,4
NPL,4
NLD,31
PNG,3
NZL,32
NIC,6
NGA,469
NOR,18
PAK,130
PAN,93
PRY,15
PER,91
POL,288
PRT,100
PRI,59
WSM,1
SAU,13
SEN,9
SLE,2
SGP,39
SOM,11
ZAF,1
ESP,231
SDN,16
SWZ,8
SWE,57
CHE,49
SYR,23
TWN,2
TZA,34
THA,85
TGO,3
TTO,1
TTO,6
TUN,11
TUR,57
TCA,1
UGA,3
URY,71
VAT,2
VAT,6
VEN,51
VNM,7039
YEM,63
ZMB,52
