iso3,num_occurences
AUS,77
AUT,60
BEL,64
BMU,3
BTN,18
BOL,157
BRA,397
BRN,1
BGR,60
BDI,6
KHM,272
CMR,3
CAN,537
CAF,6
CHL,99
CHN,423
COL,74
CRI,15
CUB,1061
CYP,21
DNK,41
DOM,85
ECU,24
EGY,6
ETH,26
FLK,6
FIN,28
FRA,511
GUF,2
GAB,3
GEO,38
DEU,823
GHA,78
GIB,11
GRC,145
GRL,2
GLP,4
GUM,4
GTM,24
HTI,78
HND,12
HKG,15
HUN,101
ISL,7
IND,622
IDN,44
IRN,40
IRQ,45
IRL,4
ISR,53
ITA,434
JAM,5
JPN,359
JOR,6
KEN,75
KWT,8
LBN,21
LBR,9
LBY,26
LIE,2
LUX,11
MAC,2
MWI,29
MYS,443
MLT,25
MTQ,3
MRT,1
MEX,146
MCO,2
MAR,37
MOZ,27
NPL,44
NLD,47
PNG,2
NZL,17
NIC,5
NER,1
NGA,63
NOR,33
OMN,3
PAK,141
PAN,87
PRY,15
PER,47
PHL,14
POL,147
PRT,57
PRI,47
QAT,1
RWA,22
SAU,32
SEN,8
SLE,10
SGP,2
SOM,76
ZAF,31
ESP,254
SDN,49
SWZ,6
SWE,53
CHE,50
SYR,40
TWN,5
TZA,18
THA,49
TGO,4
TUN,41
TUR,135
UGA,24
URY,17
VAT,1
VEN,160
VNM,2247
YEM,109
ZMB,1
