country,date
France,1910-01-01T05:00:00+0000
Guatemala,1910-01-01T05:00:00+0000
Nicaragua,1910-01-01T05:00:00+0000
China,1910-01-02T05:00:00+0000
Canada,1910-01-02T05:00:00+0000
Nicaragua,1910-01-02T05:00:00+0000
Cuba,1910-01-03T05:00:00+0000
France,1910-01-03T05:00:00+0000
Germany,1910-01-03T05:00:00+0000
China,1910-01-03T05:00:00+0000
Nicaragua,1910-01-03T05:00:00+0000
Guatemala,1910-01-04T05:00:00+0000
Brazil,1910-01-05T05:00:00+0000
Haiti,1910-01-05T05:00:00+0000
Belgium,1910-01-05T05:00:00+0000
Nicaragua,1910-01-05T05:00:00+0000
Haiti,1910-01-05T05:00:00+0000
Cuba,1910-01-05T05:00:00+0000
Georgia,1910-01-06T05:00:00+0000
Macao,1910-01-06T05:00:00+0000
China,1910-01-06T05:00:00+0000
Belgium,1910-01-06T05:00:00+0000
Canada,1910-01-06T05:00:00+0000
Nicaragua,1910-01-06T05:00:00+0000
Greece,1910-01-07T05:00:00+0000
Uruguay,1910-01-07T05:00:00+0000
Belgium,1910-01-07T05:00:00+0000
Russia,1910-01-07T05:00:00+0000
Nicaragua,1910-01-07T05:00:00+0000
France,1910-01-08T05:00:00+0000
Guatemala,1910-01-08T05:00:00+0000
Italy,1910-01-08T05:00:00+0000
Nicaragua,1910-01-08T05:00:00+0000
Nicaragua,1910-01-08T05:00:00+0000
Guatemala,1910-01-08T05:00:00+0000
Japan,1910-01-08T05:00:00+0000
Nicaragua,1910-01-09T05:00:00+0000
Mexico,1910-01-09T05:00:00+0000
Belgium,1910-01-09T05:00:00+0000
Nicaragua,1910-01-10T05:00:00+0000
Germany,1910-01-10T05:00:00+0000
Japan,1910-01-10T05:00:00+0000
Venezuela,1910-01-10T05:00:00+0000
Georgia,1910-01-11T05:00:00+0000
Spain,1910-01-12T05:00:00+0000
Germany,1910-01-12T05:00:00+0000
Italy,1910-01-12T05:00:00+0000
Ethiopia,1910-01-12T05:00:00+0000
France,1910-01-12T05:00:00+0000
Peru,1910-01-12T05:00:00+0000
Macao,1910-01-13T05:00:00+0000
Nicaragua,1910-01-13T05:00:00+0000
Germany,1910-01-13T05:00:00+0000
Nicaragua,1910-01-14T05:00:00+0000
Venezuela,1910-01-14T05:00:00+0000
Mexico,1910-01-14T05:00:00+0000
Germany,1910-01-14T05:00:00+0000
Germany,1910-01-14T05:00:00+0000
Spain,1910-01-14T05:00:00+0000
Spain,1910-01-15T05:00:00+0000
Portugal,1910-01-15T05:00:00+0000
Mexico,1910-01-15T05:00:00+0000
Spain,1910-01-16T05:00:00+0000
Germany,1910-01-17T05:00:00+0000
Brazil,1910-01-18T05:00:00+0000
Ireland,1910-01-18T05:00:00+0000
France,1910-01-18T05:00:00+0000
Turkey,1910-01-18T05:00:00+0000
Canada,1910-01-18T05:00:00+0000
Russia,1910-01-20T05:00:00+0000
France,1910-01-20T05:00:00+0000
Uruguay,1910-01-20T05:00:00+0000
Turkey,1910-01-20T05:00:00+0000
Canada,1910-01-20T05:00:00+0000
Japan,1910-01-20T05:00:00+0000
Belgium,1910-01-20T05:00:00+0000
Germany,1910-01-21T05:00:00+0000
Nicaragua,1910-01-21T05:00:00+0000
Russia,1910-01-21T05:00:00+0000
Russia,1910-01-22T05:00:00+0000
Russia,1910-01-22T05:00:00+0000
Germany,1910-01-22T05:00:00+0000
Canada,1910-01-23T05:00:00+0000
Australia,1910-01-23T05:00:00+0000
Nicaragua,1910-01-24T05:00:00+0000
Ireland,1910-01-24T05:00:00+0000
Japan,1910-01-24T05:00:00+0000
Russia,1910-01-24T05:00:00+0000
Russia,1910-01-24T05:00:00+0000
Nicaragua,1910-01-24T05:00:00+0000
Germany,1910-01-24T05:00:00+0000
Germany,1910-01-25T05:00:00+0000
