iso3,num_occurences
AUS,109
AUT,66
BHR,9
BGD,34
BRB,12
BEL,57
BLZ,20
BEN,1
BMU,27
BTN,1
BOL,55
BWA,1
BRA,139
BRN,3
BGR,14
BDI,2
KHM,87
CMR,5
CAN,702
CAF,9
CHL,53
COL,59
COK,1
CRI,24
HRV,3
CUB,214
CYP,18
DNK,35
DMA,16
DOM,13
ECU,33
ETH,30
FLK,4
FIN,22
FRA,683
GUF,2
GMB,15
GEO,33
GHA,10
GIB,10
GRC,180
GRL,3
GRD,1
GLP,9
GUM,4
GTM,78
GUY,24
HTI,111
HND,31
HKG,41
HUN,34
ISL,3
IND,267
IRN,977
IRQ,294
ITA,351
JPN,908
KEN,32
KWT,58
LBN,298
LSO,2
LBR,22
LBY,298
LIE,3
LUX,2
MAC,3
MWI,1
MYS,27
MLT,8
MHL,7
MTQ,2
MUS,4
MEX,259
FSM,5
MAR,49
MOZ,17
NPL,3
NLD,106
NCL,2
NZL,42
NIC,125
NGA,51
MNP,3
NOR,44
PAK,179
PAN,21
PNG,8
PRY,8
PER,59
POL,1076
PRT,52
PRI,80
SAU,479
SLE,3
SGP,18
SLB,1
SOM,35
ESP,243
SDN,47
SUR,3
SWZ,1
SWE,79
CHE,76
SYR,233
TWN,139
TZA,17
THA,55
TGO,3
TON,1
TTO,6
TUN,10
TUR,186
UGA,48
URY,12
VAT,6
VEN,62
VNM,124
ZMB,17
