country,date
Poland,1978-01-01T05:00:00+0000
Ethiopia,1978-01-01T05:00:00+0000
Iran,1978-01-01T05:00:00+0000
Syria,1978-01-01T05:00:00+0000
Japan,1978-01-01T05:00:00+0000
Cambodia,1978-01-01T05:00:00+0000
Italy,1978-01-01T05:00:00+0000
Turkey,1978-01-01T05:00:00+0000
Poland,1978-01-01T05:00:00+0000
Uganda,1978-01-01T05:00:00+0000
Poland,1978-01-01T05:00:00+0000
Poland,1978-01-01T05:00:00+0000
Iran,1978-01-01T05:00:00+0000
Chile,1978-01-01T05:00:00+0000
Switzerland,1978-01-01T05:00:00+0000
Haiti,1978-01-01T05:00:00+0000
Kuwait,1978-01-01T05:00:00+0000
Saudi Arabia,1978-01-01T05:00:00+0000
Canada,1978-01-01T05:00:00+0000
Spain,1978-01-01T05:00:00+0000
Chile,1978-01-01T05:00:00+0000
Turkey,1978-01-01T05:00:00+0000
Italy,1978-01-02T05:00:00+0000
India,1978-01-02T05:00:00+0000
India,1978-01-02T05:00:00+0000
India,1978-01-02T05:00:00+0000
Turkey,1978-01-02T05:00:00+0000
Hungary,1978-01-02T05:00:00+0000
India,1978-01-02T05:00:00+0000
India,1978-01-02T05:00:00+0000
India,1978-01-02T05:00:00+0000
Venezuela,1978-01-02T05:00:00+0000
Venezuela,1978-01-02T05:00:00+0000
Venezuela,1978-01-02T05:00:00+0000
Spain,1978-01-02T05:00:00+0000
Poland,1978-01-02T05:00:00+0000
Pakistan,1978-01-02T05:00:00+0000
Pakistan,1978-01-02T05:00:00+0000
Cuba,1978-01-02T05:00:00+0000
Greece,1978-01-02T05:00:00+0000
Cambodia,1978-01-02T05:00:00+0000
Vietnam,1978-01-02T05:00:00+0000
Japan,1978-01-02T05:00:00+0000
Japan,1978-01-02T05:00:00+0000
Japan,1978-01-02T05:00:00+0000
India,1978-01-02T05:00:00+0000
France,1978-01-02T05:00:00+0000
Poland,1978-01-02T05:00:00+0000
Poland,1978-01-02T05:00:00+0000
India,1978-01-02T05:00:00+0000
India,1978-01-02T05:00:00+0000
India,1978-01-02T05:00:00+0000
Hungary,1978-01-03T05:00:00+0000
Ethiopia,1978-01-03T05:00:00+0000
Turkey,1978-01-03T05:00:00+0000
Italy,1978-01-03T05:00:00+0000
Canada,1978-01-03T05:00:00+0000
Canada,1978-01-03T05:00:00+0000
Canada,1978-01-03T05:00:00+0000
Chile,1978-01-03T05:00:00+0000
Chile,1978-01-03T05:00:00+0000
India,1978-01-03T05:00:00+0000
India,1978-01-03T05:00:00+0000
Poland,1978-01-03T05:00:00+0000
Spain,1978-01-03T05:00:00+0000
India,1978-01-03T05:00:00+0000
India,1978-01-03T05:00:00+0000
Pakistan,1978-01-03T05:00:00+0000
Pakistan,1978-01-03T05:00:00+0000
Pakistan,1978-01-03T05:00:00+0000
Cambodia,1978-01-03T05:00:00+0000
Syria,1978-01-03T05:00:00+0000
Saudi Arabia,1978-01-03T05:00:00+0000
India,1978-01-03T05:00:00+0000
India,1978-01-03T05:00:00+0000
France,1978-01-03T05:00:00+0000
India,1978-01-03T05:00:00+0000
India,1978-01-03T05:00:00+0000
India,1978-01-04T05:00:00+0000
Ethiopia,1978-01-04T05:00:00+0000
Somalia,1978-01-04T05:00:00+0000
Saudi Arabia,1978-01-04T05:00:00+0000
India,1978-01-04T05:00:00+0000
India,1978-01-04T05:00:00+0000
India,1978-01-04T05:00:00+0000
Kenya,1978-01-04T05:00:00+0000
Hungary,1978-01-04T05:00:00+0000
Ethiopia,1978-01-04T05:00:00+0000
Kenya,1978-01-04T05:00:00+0000
Chile,1978-01-04T05:00:00+0000
India,1978-01-04T05:00:00+0000
Cambodia,1978-01-04T05:00:00+0000
Greece,1978-01-04T05:00:00+0000
India,1978-01-04T05:00:00+0000
Canada,1978-01-04T05:00:00+0000
France,1978-01-05T05:00:00+0000
France,1978-01-05T05:00:00+0000
Cambodia,1978-01-05T05:00:00+0000
Chile,1978-01-05T05:00:00+0000
France,1978-01-05T05:00:00+0000
Chile,1978-01-05T05:00:00+0000
Lebanon,1978-01-05T05:00:00+0000
Cambodia,1978-01-05T05:00:00+0000
Italy,1978-01-05T05:00:00+0000
Italy,1978-01-05T05:00:00+0000
Georgia,1978-01-05T05:00:00+0000
Chile,1978-01-05T05:00:00+0000
Cuba,1978-01-05T05:00:00+0000
France,1978-01-05T05:00:00+0000
France,1978-01-05T05:00:00+0000
Canada,1978-01-05T05:00:00+0000
India,1978-01-05T05:00:00+0000
Hungary,1978-01-05T05:00:00+0000
Saudi Arabia,1978-01-06T05:00:00+0000
Ethiopia,1978-01-06T05:00:00+0000
Ethiopia,1978-01-06T05:00:00+0000
Brazil,1978-01-06T05:00:00+0000
Hungary,1978-01-06T05:00:00+0000
France,1978-01-06T05:00:00+0000
Japan,1978-01-06T05:00:00+0000
Vietnam,1978-01-06T05:00:00+0000
Chile,1978-01-06T05:00:00+0000
Hungary,1978-01-06T05:00:00+0000
Japan,1978-01-06T05:00:00+0000
Pakistan,1978-01-06T05:00:00+0000
Japan,1978-01-06T05:00:00+0000
Cambodia,1978-01-06T05:00:00+0000
Cambodia,1978-01-06T05:00:00+0000
Chile,1978-01-06T05:00:00+0000
France,1978-01-06T05:00:00+0000
India,1978-01-06T05:00:00+0000
Hungary,1978-01-06T05:00:00+0000
Cambodia,1978-01-06T05:00:00+0000
Bangladesh,1978-01-07T05:00:00+0000
Italy,1978-01-07T05:00:00+0000
France,1978-01-07T05:00:00+0000
France,1978-01-07T05:00:00+0000
Cambodia,1978-01-07T05:00:00+0000
Cambodia,1978-01-07T05:00:00+0000
Hungary,1978-01-07T05:00:00+0000
Lebanon,1978-01-07T05:00:00+0000
Poland,1978-01-07T05:00:00+0000
Poland,1978-01-07T05:00:00+0000
Brazil,1978-01-07T05:00:00+0000
France,1978-01-07T05:00:00+0000
France,1978-01-07T05:00:00+0000
Cambodia,1978-01-07T05:00:00+0000
Japan,1978-01-07T05:00:00+0000
Belgium,1978-01-07T05:00:00+0000
Belgium,1978-01-07T05:00:00+0000
Canada,1978-01-07T05:00:00+0000
Cambodia,1978-01-08T05:00:00+0000
Italy,1978-01-08T05:00:00+0000
Mexico,1978-01-08T05:00:00+0000
France,1978-01-08T05:00:00+0000
France,1978-01-08T05:00:00+0000
Spain,1978-01-08T05:00:00+0000
Spain,1978-01-08T05:00:00+0000
Cambodia,1978-01-08T05:00:00+0000
Chile,1978-01-08T05:00:00+0000
Brazil,1978-01-08T05:00:00+0000
Turkey,1978-01-08T05:00:00+0000
Ethiopia,1978-01-08T05:00:00+0000
India,1978-01-08T05:00:00+0000
Vietnam,1978-01-08T05:00:00+0000
Ethiopia,1978-01-08T05:00:00+0000
Japan,1978-01-08T05:00:00+0000
Hungary,1978-01-08T05:00:00+0000
Hungary,1978-01-08T05:00:00+0000
India,1978-01-08T05:00:00+0000
Iran,1978-01-08T05:00:00+0000
France,1978-01-08T05:00:00+0000
Portugal,1978-01-08T05:00:00+0000
Ethiopia,1978-01-08T05:00:00+0000
France,1978-01-08T05:00:00+0000
Cambodia,1978-01-08T05:00:00+0000
India,1978-01-08T05:00:00+0000
France,1978-01-09T05:00:00+0000
Norway,1978-01-09T05:00:00+0000
Norway,1978-01-09T05:00:00+0000
Cambodia,1978-01-09T05:00:00+0000
Thailand,1978-01-09T05:00:00+0000
Cambodia,1978-01-09T05:00:00+0000
Iraq,1978-01-09T05:00:00+0000
Iraq,1978-01-09T05:00:00+0000
Spain,1978-01-09T05:00:00+0000
France,1978-01-09T05:00:00+0000
Italy,1978-01-09T05:00:00+0000
Saudi Arabia,1978-01-09T05:00:00+0000
India,1978-01-09T05:00:00+0000
Saudi Arabia,1978-01-09T05:00:00+0000
Saudi Arabia,1978-01-09T05:00:00+0000
Chile,1978-01-09T05:00:00+0000
Cambodia,1978-01-09T05:00:00+0000
Japan,1978-01-10T05:00:00+0000
Japan,1978-01-10T05:00:00+0000
France,1978-01-10T05:00:00+0000
France,1978-01-10T05:00:00+0000
Cambodia,1978-01-10T05:00:00+0000
Thailand,1978-01-10T05:00:00+0000
Canada,1978-01-10T05:00:00+0000
Cambodia,1978-01-10T05:00:00+0000
Cambodia,1978-01-10T05:00:00+0000
India,1978-01-10T05:00:00+0000
Cambodia,1978-01-10T05:00:00+0000
Japan,1978-01-10T05:00:00+0000
Paraguay,1978-01-10T05:00:00+0000
Japan,1978-01-10T05:00:00+0000
Japan,1978-01-10T05:00:00+0000
Japan,1978-01-10T05:00:00+0000
Poland,1978-01-10T05:00:00+0000
Poland,1978-01-10T05:00:00+0000
Poland,1978-01-10T05:00:00+0000
Poland,1978-01-10T05:00:00+0000
Japan,1978-01-10T05:00:00+0000
France,1978-01-10T05:00:00+0000
India,1978-01-10T05:00:00+0000
Italy,1978-01-10T05:00:00+0000
Poland,1978-01-10T05:00:00+0000
Pakistan,1978-01-10T05:00:00+0000
Nigeria,1978-01-10T05:00:00+0000
Canada,1978-01-10T05:00:00+0000
Canada,1978-01-10T05:00:00+0000
Japan,1978-01-11T05:00:00+0000
Japan,1978-01-11T05:00:00+0000
Japan,1978-01-11T05:00:00+0000
France,1978-01-11T05:00:00+0000
Iran,1978-01-11T05:00:00+0000
India,1978-01-11T05:00:00+0000
Poland,1978-01-11T05:00:00+0000
Mexico,1978-01-11T05:00:00+0000
Mexico,1978-01-11T05:00:00+0000
Nicaragua,1978-01-11T05:00:00+0000
Nicaragua,1978-01-11T05:00:00+0000
Cambodia,1978-01-11T05:00:00+0000
Canada,1978-01-11T05:00:00+0000
Nicaragua,1978-01-11T05:00:00+0000
Nicaragua,1978-01-11T05:00:00+0000
Japan,1978-01-11T05:00:00+0000
Italy,1978-01-11T05:00:00+0000
Hungary,1978-01-11T05:00:00+0000
Iran,1978-01-11T05:00:00+0000
Iran,1978-01-11T05:00:00+0000
Japan,1978-01-11T05:00:00+0000
Puerto Rico,1978-01-11T05:00:00+0000
Italy,1978-01-11T05:00:00+0000
Turkey,1978-01-12T05:00:00+0000
Iran,1978-01-12T05:00:00+0000
Cambodia,1978-01-12T05:00:00+0000
Saudi Arabia,1978-01-12T05:00:00+0000
Saudi Arabia,1978-01-12T05:00:00+0000
Italy,1978-01-12T05:00:00+0000
Lebanon,1978-01-12T05:00:00+0000
Japan,1978-01-12T05:00:00+0000
Japan,1978-01-12T05:00:00+0000
Nicaragua,1978-01-12T05:00:00+0000
Canada,1978-01-12T05:00:00+0000
Spain,1978-01-12T05:00:00+0000
India,1978-01-12T05:00:00+0000
Syria,1978-01-12T05:00:00+0000
Italy,1978-01-12T05:00:00+0000
Pakistan,1978-01-12T05:00:00+0000
Spain,1978-01-12T05:00:00+0000
Nicaragua,1978-01-13T05:00:00+0000
Italy,1978-01-13T05:00:00+0000
Italy,1978-01-13T05:00:00+0000
Vietnam,1978-01-13T05:00:00+0000
Cyprus,1978-01-13T05:00:00+0000
Turkey,1978-01-13T05:00:00+0000
Nicaragua,1978-01-13T05:00:00+0000
Nicaragua,1978-01-13T05:00:00+0000
Puerto Rico,1978-01-13T05:00:00+0000
Iran,1978-01-13T05:00:00+0000
Japan,1978-01-13T05:00:00+0000
Nicaragua,1978-01-13T05:00:00+0000
Nicaragua,1978-01-13T05:00:00+0000
Singapore,1978-01-13T05:00:00+0000
Cambodia,1978-01-13T05:00:00+0000
Japan,1978-01-13T05:00:00+0000
Italy,1978-01-13T05:00:00+0000
Italy,1978-01-13T05:00:00+0000
Italy,1978-01-13T05:00:00+0000
Switzerland,1978-01-13T05:00:00+0000
Switzerland,1978-01-13T05:00:00+0000
France,1978-01-13T05:00:00+0000
Belgium,1978-01-13T05:00:00+0000
Switzerland,1978-01-13T05:00:00+0000
