iso3,num_occurences
ATG,1
AUS,306
AUT,38
AZE,35
BHR,26
BGD,39
BRB,6
BLR,70
BEL,39
BLZ,4
BEN,1
BMU,4
BTN,6
BOL,22
BES,3
BIH,11
BWA,6
BRA,146
BRN,2
BGR,8
BFA,10
BDI,3
KHM,27
CMR,4
CAN,239
CPV,2
CYM,5
CAF,2
TCD,3
CHL,30
CHN,1319
COL,37
COM,1
CRI,12
HRV,12
CUB,33
CYP,12
CZE,18
DNK,41
DJI,4
DMA,1
DOM,8
ECU,20
EGY,55
SLV,10
ERI,10
EST,9
ETH,42
FLK,1
FRO,2
FJI,5
FIN,11
FRA,369
GAB,1
GMB,2
GEO,336
DEU,324
GHA,7
GIB,2
GRC,63
GRL,8
GRD,4
GUM,16
GTM,23
GIN,3
GUY,8
HTI,13
HND,17
HKG,242
HUN,37
ISL,10
IND,275
IDN,54
IRN,452
IRQ,147
IRL,60
IMN,1
ISR,285
ITA,320
JPN,248
JOR,12
KAZ,5
KEN,52
KIR,1
KWT,10
KGZ,12
LVA,2
LBN,72
LSO,3
LBR,3
LBY,43
LIE,1
LTU,4
LUX,2
MKD,1
MDG,2
MWI,3
MYS,30
MDV,4
MLI,20
MLT,8
MHL,2
MTQ,2
MRT,2
MUS,5
MEX,164
FSM,2
MDA,2
MCO,1
MNG,1
MNE,1
MAR,17
MOZ,3
MMR,43
NAM,3
NRU,2
NPL,19
NLD,58
KNA,1
PNG,1
NZL,56
NIC,17
NER,8
NGA,67
MNP,2
NOR,35
OMN,8
PAK,77
PLW,1
PAN,7
PNG,4
PRY,3
PER,27
PHL,75
POL,72
PRT,21
PRI,63
QAT,19
ROU,11
RUS,514
RWA,11
SAU,144
SEN,19
SRB,11
SLE,3
SGP,52
SVK,4
SVN,7
SLB,4
SOM,38
ZAF,62
SSD,5
ESP,118
LKA,13
SDN,29
SUR,6
SWE,56
CHE,34
SYR,101
TWN,68
TJK,3
TZA,17
THA,62
TGO,1
TTO,1
SHN,1
TUN,7
TUR,140
TKM,4
TCA,3
UGA,17
UKR,124
ARE,70
URY,5
UZB,7
VUT,1
VAT,6
VEN,71
VNM,33
YEM,41
ZMB,3
ZWE,5
