iso3,num_occurences
ATG,1
AUS,127
AUT,93
BHR,15
BGD,41
BRB,6
BEL,46
BLZ,1
BEN,1
BMU,5
BTN,2
BOL,22
BWA,8
BRA,216
BRN,1
BGR,10
BFA,8
BDI,11
KHM,62
CMR,8
CAN,394
CPV,1
CYM,1
CAF,3
TCD,1
CHL,102
CXR,1
COL,70
CRI,82
HRV,2
CUB,236
CYP,14
DNK,25
DOM,22
ECU,43
GNQ,6
ETH,35
FLK,5
FJI,28
FIN,22
FRA,575
GUF,3
GEO,51
DEU,1
GHA,5
GIB,3
GRC,105
GRL,5
GRD,4
GUM,5
GTM,56
GUY,3
HTI,137
HND,62
HKG,61
HUN,59
ISL,14
IND,341
IRN,2162
IRQ,409
ITA,246
JPN,1091
JOR,4
KEN,47
KWT,210
LBN,371
LSO,1
LBR,22
LBY,124
LUX,2
MAC,8
MKD,1
MDG,3
MWI,4
MYS,30
MDV,5
MLT,7
MHL,4
MTQ,2
MUS,5
MEX,233
FSM,1
MNG,5
MAR,12
MOZ,53
NAM,4
NRU,1
NPL,6
NLD,52
NCL,8
NZL,44
NIC,1703
NER,2
NGA,34
NOR,66
OMN,2
PAK,130
PLW,10
PAN,74
PNG,2
PRY,22
PER,59
POL,199
PRT,37
PRI,80
QAT,5
RWA,4
SAU,152
SLE,6
SGP,32
SOM,4
ZAF,6
ESP,145
SDN,11
SUR,9
SWZ,1
SWE,71
CHE,77
SYR,102
TWN,74
TZA,12
THA,64
TGO,3
TON,2
TTO,2
TUN,30
TUR,103
UGA,22
ARE,10
URY,10
VUT,12
VAT,3
VAT,1
VEN,36
VNM,90
YEM,3
ZMB,18
ZWE,34
