country,date
Costa Rica,2018-01-01T00:10:52+0000
Egypt,2018-01-01T00:17:50+0000
Mexico,2018-01-01T00:29:33+0000
Venezuela,2018-01-01T01:05:54+0000
Russia,2018-01-01T01:45:39+0000
Kazakhstan,2018-01-01T10:00:28+0000
China,2018-01-01T10:00:28+0000
Australia,2018-01-01T11:35:17+0000
China,2018-01-01T12:56:09+0000
India,2018-01-01T12:56:09+0000
Iran,2018-01-01T17:51:39+0000
Vietnam,2018-01-01T22:14:13+0000
Lebanon,2018-01-01T22:20:51+0000
Israel,2018-01-01T22:20:51+0000
Israel,2018-01-01T23:21:16+0000
Costa Rica,2018-01-01T23:34:06+0000
Ukraine,2018-01-02T02:06:16+0000
China,2018-01-02T07:30:39+0000
Kenya,2018-01-02T07:30:39+0000
Tanzania,2018-01-02T07:30:39+0000
Cuba,2018-01-02T10:00:40+0000
Iran,2018-01-02T11:25:28+0000
Pakistan,2018-01-02T12:02:48+0000
China,2018-01-02T13:04:30+0000
Netherlands,2018-01-02T14:43:14+0000
China,2018-01-02T16:29:03+0000
Taiwan,2018-01-02T18:27:40+0000
Israel,2018-01-02T20:08:35+0000
Iran,2018-01-02T20:56:52+0000
Iran,2018-01-02T21:02:40+0000
Germany,2018-01-02T21:56:28+0000
China,2018-01-02T22:11:22+0000
Israel,2018-01-02T23:23:56+0000
Iran,2018-01-02T23:55:30+0000
Iran,2018-01-03T00:44:04+0000
Iran,2018-01-03T00:58:34+0000
Canada,2018-01-03T01:00:22+0000
Iran,2018-01-03T01:54:36+0000
Iran,2018-01-03T09:15:52+0000
Israel,2018-01-03T10:00:18+0000
Italy,2018-01-03T10:00:33+0000
China,2018-01-03T10:03:58+0000
China,2018-01-03T11:47:48+0000
Russia,2018-01-03T12:34:15+0000
Brazil,2018-01-03T13:18:41+0000
China,2018-01-03T13:52:30+0000
Israel,2018-01-03T14:34:49+0000
China,2018-01-03T15:44:31+0000
Mexico,2018-01-03T17:28:53+0000
Brazil,2018-01-03T18:16:09+0000
Brazil,2018-01-03T18:32:27+0000
Iran,2018-01-03T18:46:55+0000
Turkey,2018-01-03T19:10:39+0000
Iran,2018-01-03T19:10:39+0000
Pakistan,2018-01-03T19:11:28+0000
Venezuela,2018-01-03T20:47:23+0000
Russia,2018-01-03T20:47:23+0000
India,2018-01-03T21:21:37+0000
Iceland,2018-01-03T21:30:15+0000
Ethiopia,2018-01-03T22:13:09+0000
Peru,2018-01-03T22:58:38+0000
Iran,2018-01-03T23:23:33+0000
Ecuador,2018-01-04T08:01:22+0000
Germany,2018-01-04T09:01:30+0000
Georgia,2018-01-04T09:50:07+0000
Puerto Rico,2018-01-04T10:00:25+0000
Japan,2018-01-04T10:00:42+0000
Vietnam,2018-01-04T10:45:17+0000
Nepal,2018-01-04T11:00:02+0000
China,2018-01-04T11:30:34+0000
China,2018-01-04T12:07:19+0000
Iran,2018-01-04T13:30:28+0000
Israel,2018-01-04T13:41:27+0000
Indonesia,2018-01-04T14:37:30+0000
China,2018-01-04T14:38:33+0000
Zimbabwe,2018-01-04T16:42:28+0000
South Africa,2018-01-04T17:14:09+0000
Austria,2018-01-04T17:52:43+0000
Iran,2018-01-04T18:49:33+0000
Costa Rica,2018-01-04T18:50:09+0000
Japan,2018-01-04T19:00:37+0000
Saudi Arabia,2018-01-04T19:06:13+0000
Yemen,2018-01-04T19:06:13+0000
Israel,2018-01-04T19:18:02+0000
Norway,2018-01-04T19:44:02+0000
Nigeria,2018-01-04T20:02:01+0000
Pakistan,2018-01-04T20:14:12+0000
Turkey,2018-01-04T21:04:53+0000
Iran,2018-01-04T21:04:53+0000
Canada,2018-01-05T01:11:05+0000
El Salvador,2018-01-05T01:46:20+0000
Turkey,2018-01-05T05:01:24+0000
Peru,2018-01-05T06:15:17+0000
Pakistan,2018-01-05T11:10:22+0000
Iran,2018-01-05T11:16:32+0000
China,2018-01-05T18:15:11+0000
Hong Kong,2018-01-05T18:15:11+0000
Egypt,2018-01-05T18:39:08+0000
Spain,2018-01-05T18:49:17+0000
Ukraine,2018-01-05T19:31:03+0000
Comoros,2018-01-05T19:45:18+0000
Costa Rica,2018-01-05T20:02:42+0000
Puerto Rico,2018-01-05T20:02:54+0000
Iran,2018-01-05T20:07:06+0000
France,2018-01-05T21:40:04+0000
Canada,2018-01-05T21:46:57+0000
Italy,2018-01-05T22:00:09+0000
Israel,2018-01-05T22:27:41+0000
Venezuela,2018-01-05T23:35:38+0000
Iran,2018-01-06T00:34:28+0000
Iran,2018-01-06T01:46:29+0000
Vietnam,2018-01-06T01:48:48+0000
Pakistan,2018-01-06T02:02:03+0000
