iso3,num_occurences
AUS,34
AUT,11
BHR,3
BGD,37
BRB,2
BEL,16
BMU,1
BTN,2
BOL,11
BWA,1
BRA,141
BGR,9
BDI,7
KHM,269
CMR,7
CAN,407
CHL,302
COL,19
CRI,7
CUB,238
CYP,748
DNK,31
DJI,1
DMA,7
DOM,47
ECU,8
ETH,232
FIN,11
FRA,670
GUF,2
GMB,1
GEO,86
DEU,2
GHA,2
GIB,1
GRC,391
GRL,1
GRD,27
GLP,1
GUM,4
GTM,12
GUY,10
HTI,14
HND,8
HKG,6
HUN,31
ISL,25
IND,469
IRN,140
IRQ,93
ITA,386
JPN,448
KEN,21
KWT,75
LBN,29
LBR,2
LBY,68
LIE,2
LUX,6
MAC,3
MYS,19
MLT,2
MTQ,2
MEX,135
MAR,14
MOZ,214
NPL,7
NLD,25
NZL,15
NIC,12
NGA,37
NOR,28
PAK,100
PAN,13
PNG,10
PRY,5
PER,89
POL,56
PRT,376
PRI,56
QAT,4
SAU,106
SLE,3
SGP,13
SLB,1
SOM,7
ESP,175
SDN,7
SWE,40
CHE,37
SYR,93
TZA,12
THA,80
TGO,2
TON,1
TTO,10
TUN,12
TUR,203
UGA,29
URY,33
VAT,7
VEN,145
VNM,1
YEM,3
ZMB,11
