country,date
Canada,1890-01-01T05:00:00+0000
Brazil,1890-01-02T05:00:00+0000
Portugal,1890-01-04T05:00:00+0000
Portugal,1890-01-08T05:00:00+0000
Germany,1890-01-12T05:00:00+0000
Canada,1890-01-12T05:00:00+0000
Portugal,1890-01-14T05:00:00+0000
Portugal,1890-01-17T05:00:00+0000
Greece,1890-01-19T05:00:00+0000
Portugal,1890-01-19T05:00:00+0000
Brazil,1890-01-23T05:00:00+0000
Portugal,1890-01-23T05:00:00+0000
France,1890-01-23T05:00:00+0000
Canada,1890-01-24T05:00:00+0000
Mexico,1890-01-26T05:00:00+0000
Spain,1890-01-29T05:00:00+0000
Brazil,1890-01-29T05:00:00+0000
Brazil,1890-01-30T05:00:00+0000
China,1890-02-03T05:00:00+0000
Ireland,1890-02-05T05:00:00+0000
Germany,1890-02-07T05:00:00+0000
Germany,1890-02-10T05:00:00+0000
Turkey,1890-02-11T05:00:00+0000
France,1890-02-12T05:00:00+0000
France,1890-02-13T05:00:00+0000
Ireland,1890-02-15T05:00:00+0000
France,1890-02-16T05:00:00+0000
Germany,1890-02-18T05:00:00+0000
Canada,1890-02-22T05:00:00+0000
Germany,1890-02-22T05:00:00+0000
Germany,1890-02-24T05:00:00+0000
Canada,1890-02-26T05:00:00+0000
Venezuela,1890-02-28T05:00:00+0000
Nicaragua,1890-03-02T05:00:00+0000
Canada,1890-03-03T05:00:00+0000
Germany,1890-03-04T05:00:00+0000
Canada,1890-03-05T05:00:00+0000
Canada,1890-03-08T05:00:00+0000
Canada,1890-03-09T05:00:00+0000
Venezuela,1890-03-10T05:00:00+0000
Germany,1890-03-14T05:00:00+0000
Germany,1890-03-16T05:00:00+0000
France,1890-03-18T05:00:00+0000
Germany,1890-03-19T05:00:00+0000
Germany,1890-03-21T05:00:00+0000
Germany,1890-03-25T05:00:00+0000
Germany,1890-03-25T05:00:00+0000
Germany,1890-03-27T05:00:00+0000
Russia,1890-03-28T05:00:00+0000
Germany,1890-03-30T05:00:00+0000
Russia,1890-04-03T05:00:00+0000
Canada,1890-04-04T05:00:00+0000
Canada,1890-04-13T05:00:00+0000
Germany,1890-04-15T05:00:00+0000
Germany,1890-04-15T05:00:00+0000
Germany,1890-04-16T05:00:00+0000
France,1890-04-27T05:00:00+0000
Brazil,1890-04-28T05:00:00+0000
Italy,1890-05-04T05:00:00+0000
Canada,1890-05-05T05:00:00+0000
Germany,1890-05-10T05:00:00+0000
Germany,1890-05-10T05:00:00+0000
France,1890-05-11T05:00:00+0000
Germany,1890-05-14T05:00:00+0000
Germany,1890-05-15T05:00:00+0000
Mexico,1890-05-15T05:00:00+0000
Germany,1890-05-16T05:00:00+0000
Ireland,1890-05-20T05:00:00+0000
Russia,1890-05-20T05:00:00+0000
Germany,1890-05-20T05:00:00+0000
Guatemala,1890-05-22T05:00:00+0000
France,1890-05-25T05:00:00+0000
Guatemala,1890-06-01T05:00:00+0000
Bulgaria,1890-06-03T05:00:00+0000
Germany,1890-06-07T05:00:00+0000
China,1890-06-08T05:00:00+0000
Mexico,1890-06-12T05:00:00+0000
Germany,1890-06-19T05:00:00+0000
Germany,1890-06-22T05:00:00+0000
Germany,1890-06-23T05:00:00+0000
Brazil,1890-06-25T05:00:00+0000
Germany,1890-06-29T05:00:00+0000
Germany,1890-07-01T05:00:00+0000
Turkey,1890-07-01T05:00:00+0000
Mexico,1890-07-01T05:00:00+0000
Mexico,1890-07-01T05:00:00+0000
Panama,1890-07-03T05:00:00+0000
Mexico,1890-07-04T05:00:00+0000
Panama,1890-07-04T05:00:00+0000
Turkey,1890-07-05T05:00:00+0000
Guatemala,1890-07-05T05:00:00+0000
Panama,1890-07-05T05:00:00+0000
Russia,1890-07-05T05:00:00+0000
Canada,1890-07-06T05:00:00+0000
Portugal,1890-07-06T05:00:00+0000
Russia,1890-07-06T05:00:00+0000
Germany,1890-07-06T05:00:00+0000
Bulgaria,1890-07-06T05:00:00+0000
China,1890-07-06T05:00:00+0000
Russia,1890-07-06T05:00:00+0000
Turkey,1890-07-06T05:00:00+0000
Bermuda,1890-07-06T05:00:00+0000
Russia,1890-07-06T05:00:00+0000
Brazil,1890-07-06T05:00:00+0000
Russia,1890-07-06T05:00:00+0000
Samoa,1890-07-06T05:00:00+0000
Russia,1890-07-07T05:00:00+0000
France,1890-07-07T05:00:00+0000
India,1890-07-07T05:00:00+0000
Georgia,1890-07-09T05:00:00+0000
Canada,1890-07-09T05:00:00+0000
Egypt,1890-07-09T05:00:00+0000
Uruguay,1890-07-09T05:00:00+0000
Spain,1890-07-09T05:00:00+0000
Mexico,1890-07-09T05:00:00+0000
Mexico,1890-07-11T05:00:00+0000
Canada,1890-07-11T05:00:00+0000
Russia,1890-07-12T05:00:00+0000
Mexico,1890-07-13T05:00:00+0000
Bulgaria,1890-07-13T05:00:00+0000
Turkey,1890-07-13T05:00:00+0000
Mexico,1890-07-13T05:00:00+0000
France,1890-07-13T05:00:00+0000
Ireland,1890-07-13T05:00:00+0000
Germany,1890-07-13T05:00:00+0000
France,1890-07-13T05:00:00+0000
Turkey,1890-07-14T05:00:00+0000
Russia,1890-07-15T05:00:00+0000
Bulgaria,1890-07-15T05:00:00+0000
France,1890-07-15T05:00:00+0000
Peru,1890-07-15T05:00:00+0000
Canada,1890-07-16T05:00:00+0000
Egypt,1890-07-16T05:00:00+0000
Canada,1890-07-16T05:00:00+0000
Canada,1890-07-17T05:00:00+0000
