iso3,num_occurences
AUS,63
AUT,103
BRB,1
BEL,75
BMU,2
BTN,6
BOL,54
BRA,200
BRN,1
BGR,21
KHM,42
CMR,1
CAN,405
CAF,5
TCD,1
CHL,80
CHN,586
COL,61
CRI,10
CUB,1913
CYP,130
DNK,48
DOM,290
ECU,44
EGY,4
ERI,1
ETH,75
FIN,59
FRA,550
GAB,1
GMB,1
GEO,44
DEU,1228
GHA,158
GRC,71
GRL,12
GLP,3
GUM,11
GTM,102
GIN,4
HTI,57
HND,17
HKG,28
HUN,97
ISL,14
IND,546
IDN,38
IRN,96
IRQ,92
IRL,4
ISR,100
ITA,300
JPN,756
JOR,8
KEN,111
LBN,26
LBR,11
LBY,10
LUX,2
MLT,9
MTQ,4
MRT,1
MUS,1
MEX,90
MCO,1
MAR,143
MOZ,9
NPL,100
NLD,60
PNG,6
NZL,20
NIC,84
NGA,109
NOR,41
PAK,116
PAN,40
PRY,25
PER,67
PHL,19
POL,219
PRT,51
PRI,158
QAT,2
SAU,22
SEN,2
SLE,10
SGP,7
SOM,28
ESP,152
SDN,23
SWZ,4
SWE,57
CHE,45
SYR,1
TWN,2
THA,46
TGO,11
TTO,4
TTO,6
TUN,31
TUR,271
UGA,30
URY,32
VAT,2
VEN,185
VNM,104
YEM,5
