iso3,num_occurences
AUS,77
AUT,28
BEL,36
BMU,3
BOL,38
BRA,229
BRN,2
BGR,40
BDI,1
KHM,78
CMR,2
CAN,438
CHL,39
CHN,285
COL,66
CRI,2
CUB,1016
CYP,4
DNK,28
DOM,156
ECU,26
EGY,7
ETH,38
FIN,50
FRA,489
GAB,3
GMB,1
GEO,31
DEU,978
GHA,30
GIB,2
GRC,162
GRL,2
GUM,6
GTM,54
GIN,1
HTI,246
HND,46
HKG,18
HUN,120
ISL,10
IND,563
IDN,26
IRN,81
IRQ,155
IRL,5
ISR,44
ITA,314
JPN,140
JOR,5
KEN,15
KWT,1
LBN,2
LBR,1
LBY,1
MAC,1
MYS,4
MLT,8
MTQ,1
MRT,3
MUS,2
MEX,85
MCO,1
MAR,77
MOZ,6
NPL,34
NLD,45
NZL,13
NIC,13
NGA,35
NOR,35
PAK,132
PAN,20
PRY,26
PER,81
PHL,17
POL,110
PRT,66
PRI,26
RWA,3
SAU,24
SEN,10
SLE,2
SGP,14
SOM,26
ZAF,26
ESP,229
SDN,5
SWZ,8
SWE,60
CHE,19
SYR,80
THA,33
TGO,22
SHN,1
TUN,23
TUR,75
UGA,9
URY,19
VAT,4
VEN,196
VNM,1257
YEM,142
ZMB,1
