country,date
France,1863-01-01T05:00:00+0000
Bolivia,1863-01-05T05:00:00+0000
France,1863-01-05T05:00:00+0000
Austria,1863-01-05T05:00:00+0000
France,1863-01-13T05:00:00+0000
France,1863-01-15T05:00:00+0000
France,1863-01-15T05:00:00+0000
Mexico,1863-01-20T05:00:00+0000
France,1863-01-21T05:00:00+0000
Mexico,1863-01-21T05:00:00+0000
France,1863-01-22T05:00:00+0000
Mexico,1863-01-22T05:00:00+0000
Mexico,1863-01-22T05:00:00+0000
France,1863-01-23T05:00:00+0000
Russia,1863-01-25T05:00:00+0000
Colombia,1863-01-26T05:00:00+0000
Liberia,1863-01-27T05:00:00+0000
Mexico,1863-01-27T05:00:00+0000
France,1863-01-28T05:00:00+0000
France,1863-01-28T05:00:00+0000
France,1863-01-28T05:00:00+0000
Mexico,1863-01-28T05:00:00+0000
Mexico,1863-01-29T05:00:00+0000
Venezuela,1863-01-29T05:00:00+0000
France,1863-01-30T05:00:00+0000
Mexico,1863-01-30T05:00:00+0000
Mexico,1863-01-31T05:00:00+0000
France,1863-02-01T05:00:00+0000
France,1863-02-02T05:00:00+0000
France,1863-02-02T05:00:00+0000
Mexico,1863-02-03T05:00:00+0000
France,1863-02-03T05:00:00+0000
France,1863-02-04T05:00:00+0000
Mexico,1863-02-04T05:00:00+0000
Mexico,1863-02-04T05:00:00+0000
France,1863-02-08T05:00:00+0000
Italy,1863-02-08T05:00:00+0000
France,1863-02-09T05:00:00+0000
Mexico,1863-02-09T05:00:00+0000
France,1863-02-12T05:00:00+0000
France,1863-02-12T05:00:00+0000
France,1863-02-13T05:00:00+0000
Poland,1863-02-14T05:00:00+0000
Cuba,1863-02-15T05:00:00+0000
France,1863-02-16T05:00:00+0000
Poland,1863-02-17T05:00:00+0000
Egypt,1863-02-17T05:00:00+0000
France,1863-02-19T05:00:00+0000
France,1863-02-20T05:00:00+0000
Mexico,1863-02-20T05:00:00+0000
France,1863-02-20T05:00:00+0000
Mexico,1863-02-21T05:00:00+0000
Mexico,1863-02-22T05:00:00+0000
Venezuela,1863-02-22T05:00:00+0000
France,1863-02-23T05:00:00+0000
France,1863-02-25T05:00:00+0000
France,1863-02-25T05:00:00+0000
Brazil,1863-02-25T05:00:00+0000
Poland,1863-02-26T05:00:00+0000
France,1863-02-27T05:00:00+0000
France,1863-02-28T05:00:00+0000
Mexico,1863-02-28T05:00:00+0000
Canada,1863-03-01T05:00:00+0000
India,1863-03-01T05:00:00+0000
Poland,1863-03-01T05:00:00+0000
France,1863-03-02T05:00:00+0000
Mexico,1863-03-06T05:00:00+0000
Poland,1863-03-07T05:00:00+0000
France,1863-03-09T05:00:00+0000
Mexico,1863-03-09T05:00:00+0000
Mexico,1863-03-09T05:00:00+0000
Poland,1863-03-13T05:00:00+0000
France,1863-03-13T05:00:00+0000
France,1863-03-13T05:00:00+0000
Mexico,1863-03-14T05:00:00+0000
Mexico,1863-03-18T05:00:00+0000
Colombia,1863-03-18T05:00:00+0000
Mexico,1863-03-20T05:00:00+0000
Russia,1863-03-23T05:00:00+0000
France,1863-03-23T05:00:00+0000
France,1863-03-25T05:00:00+0000
France,1863-03-28T05:00:00+0000
Poland,1863-03-28T05:00:00+0000
Poland,1863-03-29T05:00:00+0000
Russia,1863-03-29T05:00:00+0000
Canada,1863-03-30T05:00:00+0000
Mexico,1863-04-12T05:00:00+0000
Mexico,1863-04-15T05:00:00+0000
France,1863-04-15T05:00:00+0000
Greece,1863-04-15T05:00:00+0000
France,1863-04-16T05:00:00+0000
Poland,1863-04-19T05:00:00+0000
Poland,1863-04-19T05:00:00+0000
Italy,1863-04-20T05:00:00+0000
France,1863-04-20T05:00:00+0000
Poland,1863-04-22T05:00:00+0000
Georgia,1863-04-26T05:00:00+0000
Georgia,1863-04-26T05:00:00+0000
Mexico,1863-04-26T05:00:00+0000
Mexico,1863-04-27T05:00:00+0000
France,1863-04-30T05:00:00+0000
Mexico,1863-05-01T05:00:00+0000
Poland,1863-05-02T05:00:00+0000
