iso3,num_occurences
ATG,4
AUS,130
AUT,19
AZE,4
BHR,9
BGD,12
BRB,3
BLR,17
BEL,43
BLZ,4
BEN,2
BMU,6
BTN,1
BOL,7
BIH,19
BWA,2
BRA,142
BRN,3
BGR,6
BFA,1
BDI,4
KHM,31
CMR,6
CAN,173
CYM,5
CAF,1
TCD,2
CHL,105
CHN,1175
CXR,2
COL,49
COK,1
CRI,13
HRV,4
CUB,57
CYP,8
CZE,25
DNK,30
DJI,1
DMA,1
DOM,22
ECU,16
EGY,65
SLV,9
GNQ,8
ERI,1
EST,11
ETH,16
FLK,4
FJI,2
FIN,8
FRA,352
GAB,6
GMB,1
GEO,61
DEU,386
GHA,25
GRC,378
GRL,10
GRD,3
GUM,1
GTM,25
GIN,10
GNB,3
GUY,6
HTI,502
HND,21
HKG,98
HUN,40
ISL,39
IND,302
IDN,71
IRN,409
IRQ,400
IRL,127
IMN,1
ISR,499
ITA,144
JPN,338
JOR,22
KAZ,10
KEN,41
KWT,13
KGZ,57
LVA,11
LBN,39
LSO,1
LBR,17
LBY,17
LIE,3
LTU,6
LUX,6
MAC,3
MKD,4
MDG,20
MWI,10
MYS,29
MDV,2
MLI,7
MLT,2
MHL,2
MRT,2
MUS,2
MEX,225
FSM,2
MDA,1
MCO,4
MNG,11
MNE,5
MAR,14
MOZ,2
MMR,41
NAM,7
NPL,25
NLD,76
NCL,1
NZL,32
NIC,8
NER,11
NGA,54
NOR,39
OMN,2
PAK,393
PAN,12
PNG,7
PRY,8
PER,23
PHL,62
POL,68
PRT,93
PRI,22
QAT,21
ROU,14
RUS,579
RWA,57
WSM,1
SAU,47
SEN,5
SRB,29
SLE,5
SGP,43
SVK,10
SVN,13
SOM,104
ZAF,150
ESP,206
LKA,27
SDN,60
SWE,80
CHE,120
SYR,30
TWN,33
TJK,6
TZA,13
THA,100
TTO,2
TUN,2
TUR,137
TKM,1
TCA,1
UGA,38
UKR,47
ARE,25
URY,21
UZB,13
VAT,11
VEN,43
VNM,56
YEM,101
ZMB,7
ZWE,45
