iso3,num_occurences
AUS,122
AUT,228
BHS,12
BEL,110
BLZ,1
BMU,40
BOL,328
BRA,371
BGR,54
CAN,751
CYM,1
CHL,242
CHN,2755
COL,218
CRI,35
CUB,519
CYP,2
DNK,27
DOM,3
ECU,91
EGY,51
EST,8
FIN,112
FRA,1001
GUF,2
GEO,128
DEU,1376
GIB,1
GRC,135
GRL,21
GTM,17
HTI,23
HND,47
HUN,190
ISL,10
IND,388
IRQ,29
IRL,344
ITA,425
JAM,8
JPN,351
KEN,1
LVA,13
LBN,1
LBR,5
LBY,1
LIE,1
LTU,5
MAC,1
MLT,10
MEX,584
MCO,9
MNG,5
MAR,13
NLD,118
PNG,2
NZL,84
NIC,248
NOR,17
PAN,99
PRY,16
PER,187
POL,190
PRT,47
PRI,160
RUS,359
SRB,1
ZAF,14
ESP,466
SWE,60
CHE,65
SYR,5
TTO,9
TUR,112
URY,68
VAT,66
VEN,12
