iso3,num_occurences
AUS,126
AUT,572
BHS,7
BRB,1
BEL,81
BMU,36
BOL,16
BRA,223
BGR,76
CAN,631
CYM,1
CHL,94
CHN,1394
COL,99
CRI,13
CUB,946
CYP,1
DNK,46
DOM,1
ECU,59
EGY,54
EST,13
FLK,3
FIN,42
FRA,1013
GUF,8
GEO,127
DEU,4007
GIB,1
GRC,101
GRL,18
GUM,6
GTM,2
HTI,16
HND,28
HUN,115
ISL,6
IND,173
IRQ,14
IRL,262
IMN,1
ITA,332
JAM,5
JPN,285
KEN,10
LVA,9
LBN,1
LBR,8
LBY,1
LIE,3
LTU,6
LUX,1
MKD,1
MLT,7
MEX,259
MCO,13
MNG,12
MAR,21
NLD,112
PNG,1
NZL,36
NIC,144
NOR,24
PAN,62
PRY,4
PER,82
POL,169
PRT,31
PRI,166
RUS,79
WSM,1
SGP,2
SLB,2
ZAF,12
ESP,413
SDN,1
SWE,47
CHE,33
SYR,16
TTO,2
SHN,1
TUR,80
URY,55
VAT,32
VEN,14
