iso3,num_occurences
AUS,223
AUT,279
BEL,42
BMU,4
BOL,58
BRA,282
BGR,18
CAN,744
CHL,120
CHN,1087
CCK,1
COL,100
CRI,33
CUB,134
CYP,123
DNK,46
DOM,8
ECU,29
EGY,468
ERI,1
ETH,62
FIN,53
FRA,748
GUF,1
GEO,19
DEU,2453
GIB,35
GRC,132
GRL,4
GUM,69
GTM,799
HTI,38
HND,79
HKG,15
HUN,96
ISL,14
IND,474
IDN,21
IRN,195
IRQ,69
IRL,8
ISR,98
ITA,511
JAM,1
JPN,693
JOR,1
KEN,28
LBN,36
LBR,29
LBY,34
LIE,3
LUX,5
MAC,1
MDG,1
MLT,4
MHL,2
MUS,1
MEX,164
MAR,30
MOZ,7
NPL,26
NLD,120
NZL,26
NIC,58
NGA,4
NOR,45
PAK,352
PAN,19
PRY,41
PER,75
PHL,5
POL,141
PRT,26
PRI,165
SAU,25
SEN,2
SLE,1
SGP,27
ESP,232
SDN,41
SWZ,1
SWE,83
CHE,49
SYR,61
THA,76
TTO,3
TTO,2
TUN,25
TUR,255
UGA,10
URY,15
VAT,3
VEN,40
YEM,3
