iso3,num_occurences
AUS,92
AUT,20
BHR,16
BGD,501
BRB,1
BEL,33
BMU,4
BTN,4
BOL,28
BWA,3
BRA,128
BRN,1
BGR,15
BDI,25
KHM,405
CMR,5
CAN,497
CYM,2
CAF,12
CHL,380
COL,24
COK,1
CRI,4
CUB,173
CYP,56
DNK,27
DMA,1
DOM,12
ECU,22
ETH,11
FRO,3
FIN,13
FRA,432
GUF,1
GMB,2
GEO,43
DEU,427
GHA,42
GIB,8
GRC,244
GRL,1
GLP,3
GUM,3
GTM,8
GUY,10
HTI,24
HND,8
HKG,30
HUN,49
ISL,10
IND,348
IDN,1
IRN,49
IRQ,100
IRL,1
ITA,436
JPN,765
KEN,21
KWT,5
LBN,41
LSO,1
LBR,10
LBY,43
LIE,3
LUX,7
MDG,1
MWI,6
MYS,18
MLT,66
MTQ,4
MUS,1
MEX,123
FSM,1
MAR,42
MOZ,12
NPL,19
NLD,39
NZL,21
NIC,44
NGA,28
NOR,15
PAK,278
PAN,19
PNG,10
PRY,7
PER,62
POL,214
PRT,57
PRI,71
QAT,6
RWA,3
SAU,11
SLE,6
SGP,20
SOM,1
ZAF,1
ESP,152
SDN,45
SWZ,4
SWE,41
CHE,44
SYR,34
TZA,28
THA,79
TGO,7
TTO,1
TTO,8
TUN,13
TUR,85
UGA,193
URY,48
VAT,5
VEN,31
VNM,4301
YEM,14
ZMB,16
