iso3,num_occurences
ATG,1
AUS,96
AUT,100
BHR,6
BGD,61
BRB,7
BEL,29
BLZ,1
BEN,1
BMU,3
BTN,4
BOL,15
BES,1
BWA,11
BRA,174
BRN,1
BGR,31
BFA,1
BDI,15
KHM,88
CMR,3
CAN,374
CYM,2
CAF,2
CHL,96
COL,100
CRI,46
HRV,1
CUB,227
CYP,39
DNK,19
DOM,18
ECU,17
ETH,52
FLK,4
FJI,9
FIN,24
FRA,421
GMB,2
GEO,40
DEU,11
GHA,7
GIB,14
GRC,87
GRL,5
GRD,4
GUM,3
GTM,37
GNB,3
GUY,3
HTI,106
HND,104
HKG,66
HUN,90
ISL,9
IND,306
IRN,753
IRQ,373
ISR,1
ITA,204
JPN,800
JOR,4
KEN,29
KWT,61
LBN,286
LSO,5
LBR,9
LBY,46
LIE,1
LUX,4
MAC,1
MDG,2
MWI,2
MYS,21
MDV,11
MLT,1
MUS,3
MEX,292
MCO,3
MNG,1
MAR,35
MOZ,37
NAM,9
NRU,1
NPL,19
NLD,36
NCL,13
PNG,1
NZL,67
NIC,661
NER,3
NGA,37
NOR,45
OMN,5
PAK,217
PLW,3
PAN,295
PNG,1
PRY,18
PER,71
POL,260
PRT,22
PRI,40
QAT,5
ROU,1
RWA,5
SAU,83
SLE,1
SGP,40
SLB,1
SOM,8
ZAF,2
ESP,110
SDN,34
SUR,5
SWE,68
CHE,53
SYR,98
TWN,83
TZA,5
THA,58
TGO,1
TUN,19
TUR,73
UGA,6
ARE,9
URY,10
VUT,1
VAT,2
VAT,1
VEN,26
VNM,161
YEM,1
ZMB,8
ZWE,36
