country,date
Syria,1877-01-01T05:00:00+0000
Russia,1877-01-01T05:00:00+0000
Spain,1877-01-01T05:00:00+0000
Colombia,1877-01-02T05:00:00+0000
Germany,1877-01-02T05:00:00+0000
France,1877-01-02T05:00:00+0000
Canada,1877-01-04T05:00:00+0000
Spain,1877-01-05T05:00:00+0000
Spain,1877-01-05T05:00:00+0000
Russia,1877-01-06T05:00:00+0000
Turkey,1877-01-06T05:00:00+0000
Australia,1877-01-07T05:00:00+0000
Australia,1877-01-07T05:00:00+0000
Georgia,1877-01-07T05:00:00+0000
Australia,1877-01-11T05:00:00+0000
Colombia,1877-01-12T05:00:00+0000
Nicaragua,1877-01-12T05:00:00+0000
France,1877-01-12T05:00:00+0000
France,1877-01-12T05:00:00+0000
Spain,1877-01-12T05:00:00+0000
Georgia,1877-01-13T05:00:00+0000
Russia,1877-01-13T05:00:00+0000
Russia,1877-01-13T05:00:00+0000
Russia,1877-01-14T05:00:00+0000
China,1877-01-14T05:00:00+0000
France,1877-01-14T05:00:00+0000
France,1877-01-14T05:00:00+0000
Russia,1877-01-14T05:00:00+0000
India,1877-01-15T05:00:00+0000
France,1877-01-15T05:00:00+0000
Russia,1877-01-16T05:00:00+0000
Canada,1877-01-18T05:00:00+0000
Turkey,1877-01-20T05:00:00+0000
Georgia,1877-01-24T05:00:00+0000
Mexico,1877-01-24T05:00:00+0000
Samoa,1877-01-25T05:00:00+0000
Georgia,1877-01-25T05:00:00+0000
Georgia,1877-01-26T05:00:00+0000
Russia,1877-01-27T05:00:00+0000
Georgia,1877-01-27T05:00:00+0000
France,1877-01-28T05:00:00+0000
Turkey,1877-01-28T05:00:00+0000
Germany,1877-01-29T05:00:00+0000
Italy,1877-01-29T05:00:00+0000
Mexico,1877-01-30T05:00:00+0000
Germany,1877-02-01T05:00:00+0000
Montenegro,1877-02-02T05:00:00+0000
Colombia,1877-02-04T05:00:00+0000
Australia,1877-02-04T05:00:00+0000
Brazil,1877-02-05T05:00:00+0000
France,1877-02-05T05:00:00+0000
France,1877-02-05T05:00:00+0000
France,1877-02-05T05:00:00+0000
Mexico,1877-02-06T05:00:00+0000
Montenegro,1877-02-06T05:00:00+0000
Turkey,1877-02-06T05:00:00+0000
Brazil,1877-02-07T05:00:00+0000
Russia,1877-02-07T05:00:00+0000
Canada,1877-02-09T05:00:00+0000
Montenegro,1877-02-09T05:00:00+0000
Nicaragua,1877-02-10T05:00:00+0000
France,1877-02-11T05:00:00+0000
Italy,1877-02-11T05:00:00+0000
Italy,1877-02-12T05:00:00+0000
Montenegro,1877-02-12T05:00:00+0000
Spain,1877-02-12T05:00:00+0000
Australia,1877-02-14T05:00:00+0000
Canada,1877-02-17T05:00:00+0000
Russia,1877-02-18T05:00:00+0000
Monaco,1877-02-18T05:00:00+0000
France,1877-02-18T05:00:00+0000
Russia,1877-02-18T05:00:00+0000
Russia,1877-02-19T05:00:00+0000
Japan,1877-02-19T05:00:00+0000
Ireland,1877-02-19T05:00:00+0000
Canada,1877-02-20T05:00:00+0000
Canada,1877-02-21T05:00:00+0000
Brazil,1877-02-22T05:00:00+0000
France,1877-02-22T05:00:00+0000
Mexico,1877-02-22T05:00:00+0000
Canada,1877-02-22T05:00:00+0000
India,1877-02-23T05:00:00+0000
Germany,1877-02-23T05:00:00+0000
France,1877-02-24T05:00:00+0000
Turkey,1877-02-24T05:00:00+0000
Russia,1877-02-24T05:00:00+0000
Egypt,1877-02-24T05:00:00+0000
Italy,1877-02-25T05:00:00+0000
Cuba,1877-02-25T05:00:00+0000
Ireland,1877-02-26T05:00:00+0000
France,1877-02-26T05:00:00+0000
Russia,1877-02-27T05:00:00+0000
Cuba,1877-03-01T05:00:00+0000
Japan,1877-03-02T05:00:00+0000
