iso3,num_occurences
AUS,159
AUT,170
BHR,5
BGD,39
BRB,3
BEL,42
BLZ,9
BMU,8
BOL,49
BES,1
BWA,14
BRA,174
BGR,39
BFA,2
BDI,2
KHM,42
CMR,24
CAN,388
CYM,6
CAF,10
CHL,151
COL,76
CRI,36
HRV,4
CUB,131
CYP,25
DNK,30
DMA,1
DOM,29
ECU,45
ETH,33
FLK,14
FJI,3
FIN,16
FRA,806
GUF,1
GMB,2
GEO,84
DEU,4
GHA,8
GIB,1
GRC,142
GRL,2
GRD,10
GLP,1
GUM,9
GTM,35
GUY,4
HTI,199
HND,95
HKG,54
HUN,37
ISL,61
IND,301
IRN,885
IRQ,200
ITA,371
JPN,815
JOR,4
KEN,25
KWT,34
LBN,504
LSO,12
LBR,32
LBY,699
LIE,1
LUX,3
MAC,6
MWI,8
MYS,44
MLT,11
MHL,1
MUS,1
MEX,403
FSM,2
MCO,2
MAR,46
MOZ,41
NAM,1
NPL,13
NLD,51
NCL,7
PNG,3
NZL,48
NIC,995
NER,1
NGA,48
NOR,51
PAK,183
PLW,7
PAN,47
PNG,4
PRY,21
PER,105
POL,201
PRT,44
PRI,51
QAT,3
RWA,7
SAU,158
SGP,36
SLB,6
SOM,6
ESP,188
SDN,62
SUR,11
SWZ,3
SWE,108
CHE,102
SYR,213
TWN,92
TZA,13
THA,68
TGO,8
TTO,5
TUN,17
TUR,98
TCA,2
UGA,38
ARE,6
URY,19
VUT,5
VAT,1
VAT,6
VEN,38
VNM,83
ZMB,35
ZWE,66
