country,date
China,1933-01-01T05:00:00+0000
Bulgaria,1933-01-01T05:00:00+0000
Mexico,1933-01-01T05:00:00+0000
France,1933-01-01T05:00:00+0000
Germany,1933-01-01T05:00:00+0000
Bermuda,1933-01-01T05:00:00+0000
Venezuela,1933-01-01T05:00:00+0000
Venezuela,1933-01-01T05:00:00+0000
Germany,1933-01-01T05:00:00+0000
Spain,1933-01-01T05:00:00+0000
Hungary,1933-01-01T05:00:00+0000
France,1933-01-01T05:00:00+0000
India,1933-01-01T05:00:00+0000
Nicaragua,1933-01-01T05:00:00+0000
Germany,1933-01-01T05:00:00+0000
Germany,1933-01-01T05:00:00+0000
India,1933-01-01T05:00:00+0000
Japan,1933-01-01T05:00:00+0000
Germany,1933-01-01T05:00:00+0000
Germany,1933-01-01T05:00:00+0000
Spain,1933-01-01T05:00:00+0000
Cuba,1933-01-01T05:00:00+0000
Austria,1933-01-01T05:00:00+0000
Uruguay,1933-01-01T05:00:00+0000
Italy,1933-01-01T05:00:00+0000
Canada,1933-01-01T05:00:00+0000
Canada,1933-01-01T05:00:00+0000
Japan,1933-01-01T05:00:00+0000
Turkey,1933-01-01T05:00:00+0000
Cuba,1933-01-01T05:00:00+0000
Greece,1933-01-01T05:00:00+0000
France,1933-01-01T05:00:00+0000
Italy,1933-01-01T05:00:00+0000
Russia,1933-01-01T05:00:00+0000
Germany,1933-01-01T05:00:00+0000
China,1933-01-01T05:00:00+0000
Mongolia,1933-01-01T05:00:00+0000
New Zealand,1933-01-01T05:00:00+0000
Italy,1933-01-01T05:00:00+0000
Austria,1933-01-01T05:00:00+0000
Germany,1933-01-01T05:00:00+0000
France,1933-01-01T05:00:00+0000
Austria,1933-01-01T05:00:00+0000
France,1933-01-01T05:00:00+0000
France,1933-01-01T05:00:00+0000
China,1933-01-01T05:00:00+0000
New Zealand,1933-01-01T05:00:00+0000
Georgia,1933-01-01T05:00:00+0000
Georgia,1933-01-01T05:00:00+0000
Japan,1933-01-01T05:00:00+0000
Poland,1933-01-01T05:00:00+0000
Morocco,1933-01-02T05:00:00+0000
Germany,1933-01-02T05:00:00+0000
Italy,1933-01-02T05:00:00+0000
Canada,1933-01-02T05:00:00+0000
Canada,1933-01-02T05:00:00+0000
Ireland,1933-01-02T05:00:00+0000
Ireland,1933-01-02T05:00:00+0000
Ireland,1933-01-02T05:00:00+0000
Germany,1933-01-02T05:00:00+0000
Brazil,1933-01-02T05:00:00+0000
Spain,1933-01-02T05:00:00+0000
South Africa,1933-01-02T05:00:00+0000
Germany,1933-01-02T05:00:00+0000
Greece,1933-01-02T05:00:00+0000
Nicaragua,1933-01-02T05:00:00+0000
Nicaragua,1933-01-02T05:00:00+0000
Canada,1933-01-02T05:00:00+0000
Canada,1933-01-02T05:00:00+0000
China,1933-01-02T05:00:00+0000
Germany,1933-01-02T05:00:00+0000
Germany,1933-01-02T05:00:00+0000
Germany,1933-01-02T05:00:00+0000
Canada,1933-01-02T05:00:00+0000
Turkey,1933-01-02T05:00:00+0000
Canada,1933-01-02T05:00:00+0000
Germany,1933-01-02T05:00:00+0000
Germany,1933-01-02T05:00:00+0000
Germany,1933-01-02T05:00:00+0000
Japan,1933-01-02T05:00:00+0000
Spain,1933-01-03T05:00:00+0000
India,1933-01-03T05:00:00+0000
India,1933-01-03T05:00:00+0000
Germany,1933-01-03T05:00:00+0000
France,1933-01-03T05:00:00+0000
Mexico,1933-01-03T05:00:00+0000
China,1933-01-03T05:00:00+0000
Germany,1933-01-03T05:00:00+0000
Mexico,1933-01-03T05:00:00+0000
Canada,1933-01-03T05:00:00+0000
Canada,1933-01-03T05:00:00+0000
China,1933-01-03T05:00:00+0000
China,1933-01-03T05:00:00+0000
France,1933-01-03T05:00:00+0000
Germany,1933-01-03T05:00:00+0000
