iso3,num_occurences
AUS,209
AUT,198
BHS,1
BEL,107
BMU,27
BOL,153
BRA,369
BGR,48
CAN,721
CHL,118
CHN,1075
COL,161
CRI,27
CUB,426
DNK,46
DOM,6
ECU,87
EGY,201
EST,9
FRO,5
FIN,88
FRA,1075
GUF,1
GEO,93
DEU,1360
GRC,113
GRL,9
GTM,27
HTI,114
HND,30
HUN,168
ISL,16
IND,790
IRQ,43
IRL,103
ITA,525
JAM,10
JPN,242
LVA,4
LBR,5
LIE,1
LTU,15
MKD,25
MLT,34
MTQ,5
MEX,568
MCO,18
MAR,17
NLD,43
PNG,1
NZL,37
NIC,114
NGA,3
NOR,53
PAN,99
PRY,15
PER,177
POL,332
PRT,97
RUS,1291
WSM,13
SRB,1
SGP,2
ZAF,14
ESP,535
SWE,47
CHE,49
SYR,10
TTO,9
TUR,276
UKR,1
URY,78
VAT,54
VEN,39
