iso3,num_occurences
AUS,138
AUT,89
BEL,54
BMU,1
BOL,96
BRA,276
BGR,33
KHM,13
CAN,594
CHL,50
CHN,630
COL,138
CRI,28
CUB,100
CYP,482
DNK,39
DOM,13
ECU,32
EGY,400
ERI,1
ETH,17
FIN,66
FRA,534
GEO,33
DEU,815
GIB,7
GRC,100
GRL,2
GUM,14
GTM,99
HTI,41
HND,56
HKG,15
HUN,2197
ISL,20
IND,598
IDN,31
IRN,66
IRQ,48
IRL,5
ISR,100
ITA,378
JPN,529
JOR,8
KEN,17
KWT,7
LBN,63
LBR,24
LBY,31
LUX,7
MDG,1
MLT,22
MUS,4
MEX,65
MCO,2
MAR,51
MOZ,6
NPL,26
NLD,127
NCL,2
PNG,1
NZL,11
NIC,77
NGA,18
NOR,34
OMN,1
PAK,163
PAN,35
PRY,10
PER,123
PHL,14
POL,884
PRT,21
PRI,95
WSM,2
SAU,72
SLE,1
SGP,69
ESP,239
SDN,29
SWZ,1
SWE,80
CHE,48
SYR,103
TWN,1
THA,51
TTO,4
TTO,8
TUN,34
TUR,108
UGA,7
URY,22
VAT,5
VEN,73
VNM,20
YEM,20
