iso3,num_occurences
AUS,74
AUT,31
BHS,2
BHR,4
BGD,45
BRB,5
BEL,23
BLZ,3
BMU,6
BOL,25
BWA,7
BRA,109
BGR,11
BDI,7
KHM,91
CMR,3
CAN,486
CAF,7
CHL,184
COL,59
CRI,3
HRV,1
CUB,217
CYP,85
DNK,17
DOM,7
ECU,33
ETH,74
FLK,2
FIN,25
FRA,442
GUF,1
GMB,1
GEO,61
GHA,24
GIB,2
GRC,136
GRL,1
GRD,8
GLP,1
GUM,8
GTM,76
GUY,4
HTI,11
HND,9
HKG,10
HUN,30
ISL,17
IND,362
IRN,242
IRQ,52
ITA,566
JAM,2
JPN,380
KEN,69
KWT,19
LBN,929
LBR,11
LBY,60
LIE,3
LUX,6
MAC,1
MDG,1
MWI,1
MYS,33
MLT,9
MHL,3
MUS,3
MEX,212
MAR,10
MOZ,41
NRU,1
NPL,12
NLD,39
NZL,15
NIC,4
NGA,79
MNP,10
NOR,20
PAK,94
PAN,31
PNG,4
PRY,6
PER,66
POL,193
PRT,334
PRI,64
QAT,10
RWA,10
SAU,135
SLE,2
SGP,15
SOM,14
ZAF,1
ESP,513
SDN,57
SWZ,1
SWE,65
CHE,31
SYR,66
TZA,26
THA,167
TTO,5
TUN,9
TUR,160
UGA,59
URY,29
VAT,4
VEN,78
VNM,202
YEM,1
ZMB,39
