country,date
France,1942-01-01T05:00:00+0000
Hungary,1942-01-01T05:00:00+0000
Japan,1942-01-01T05:00:00+0000
Bulgaria,1942-01-01T05:00:00+0000
India,1942-01-01T05:00:00+0000
Mexico,1942-01-01T05:00:00+0000
New Zealand,1942-01-01T05:00:00+0000
New Zealand,1942-01-01T05:00:00+0000
Norway,1942-01-02T05:00:00+0000
Brazil,1942-01-02T05:00:00+0000
Mexico,1942-01-02T05:00:00+0000
Chile,1942-01-02T05:00:00+0000
Chile,1942-01-02T05:00:00+0000
Colombia,1942-01-02T05:00:00+0000
Colombia,1942-01-02T05:00:00+0000
Mexico,1942-01-02T05:00:00+0000
Chile,1942-01-02T05:00:00+0000
Japan,1942-01-02T05:00:00+0000
China,1942-01-02T05:00:00+0000
France,1942-01-02T05:00:00+0000
Syria,1942-01-02T05:00:00+0000
Egypt,1942-01-02T05:00:00+0000
Turkey,1942-01-02T05:00:00+0000
Iraq,1942-01-02T05:00:00+0000
Iran,1942-01-02T05:00:00+0000
Canada,1942-01-02T05:00:00+0000
France,1942-01-02T05:00:00+0000
Netherlands,1942-01-02T05:00:00+0000
France,1942-01-02T05:00:00+0000
Italy,1942-01-02T05:00:00+0000
Italy,1942-01-02T05:00:00+0000
Germany,1942-01-02T05:00:00+0000
Australia,1942-01-02T05:00:00+0000
Canada,1942-01-02T05:00:00+0000
Norway,1942-01-02T05:00:00+0000
Germany,1942-01-02T05:00:00+0000
Cuba,1942-01-02T05:00:00+0000
Hungary,1942-01-02T05:00:00+0000
Australia,1942-01-02T05:00:00+0000
France,1942-01-02T05:00:00+0000
New Zealand,1942-01-02T05:00:00+0000
New Zealand,1942-01-02T05:00:00+0000
Italy,1942-01-02T05:00:00+0000
Sweden,1942-01-02T05:00:00+0000
Cuba,1942-01-03T05:00:00+0000
Cuba,1942-01-03T05:00:00+0000
Norway,1942-01-03T05:00:00+0000
Ecuador,1942-01-03T05:00:00+0000
Germany,1942-01-03T05:00:00+0000
Ecuador,1942-01-03T05:00:00+0000
Colombia,1942-01-03T05:00:00+0000
Italy,1942-01-03T05:00:00+0000
China,1942-01-03T05:00:00+0000
Italy,1942-01-03T05:00:00+0000
Italy,1942-01-03T05:00:00+0000
France,1942-01-03T05:00:00+0000
Chile,1942-01-03T05:00:00+0000
Cuba,1942-01-03T05:00:00+0000
Germany,1942-01-03T05:00:00+0000
Italy,1942-01-03T05:00:00+0000
Mexico,1942-01-03T05:00:00+0000
Mexico,1942-01-03T05:00:00+0000
Germany,1942-01-03T05:00:00+0000
India,1942-01-03T05:00:00+0000
France,1942-01-03T05:00:00+0000
