iso3,num_occurences
AUS,71
AUT,62
BHS,1
BRB,4
BEL,41
BMU,8
BOL,51
BRA,193
BGR,44
KHM,11
CAN,575
TCD,1
CHL,55
CHN,1406
CXR,1
COL,71
CRI,42
CUB,531
CYP,370
DNK,42
DOM,38
ECU,24
EGY,9
SLV,1
ERI,2
ETH,11
FIN,66
FRA,1057
GAB,1
GEO,24
DEU,816
GHA,87
GIB,3
GRC,112
GRL,5
GRD,1
GUM,2
GTM,64
HTI,114
HND,14
HKG,17
HUN,450
ISL,21
IND,370
IDN,64
IRN,94
IRQ,307
IRL,4
ISR,66
ITA,297
JAM,6
JPN,396
JOR,17
KEN,17
KWT,7
LBN,439
LBR,12
LBY,26
LUX,5
MAC,2
MDG,5
MLT,25
MRT,1
MEX,118
MAR,181
MOZ,1
NPL,27
NLD,58
NCL,6
PNG,3
NZL,28
NIC,34
NGA,21
NOR,29
OMN,1
PAK,115
PAN,46
PRY,37
PER,80
PHL,11
POL,414
PRT,54
PRI,53
QAT,1
SAU,35
SEN,2
SGP,22
SOM,4
ESP,153
SDN,7
SWE,41
CHE,29
SYR,8
THA,42
TTO,2
TTO,1
TUN,394
TUR,122
UGA,7
URY,25
VAT,3
VEN,293
VNM,10
YEM,29
