country,date
Cyprus,1958-01-01T05:00:00+0000
Pakistan,1958-01-01T05:00:00+0000
Italy,1958-01-01T05:00:00+0000
Brazil,1958-01-01T05:00:00+0000
Switzerland,1958-01-01T05:00:00+0000
Nicaragua,1958-01-01T05:00:00+0000
Germany,1958-01-01T05:00:00+0000
Libya,1958-01-01T05:00:00+0000
France,1958-01-01T05:00:00+0000
Iran,1958-01-01T05:00:00+0000
Japan,1958-01-01T05:00:00+0000
Pakistan,1958-01-01T05:00:00+0000
Iran,1958-01-01T05:00:00+0000
Mexico,1958-01-01T05:00:00+0000
Poland,1958-01-01T05:00:00+0000
Italy,1958-01-01T05:00:00+0000
Bolivia,1958-01-01T05:00:00+0000
Canada,1958-01-01T05:00:00+0000
Canada,1958-01-01T05:00:00+0000
Canada,1958-01-01T05:00:00+0000
Canada,1958-01-01T05:00:00+0000
Japan,1958-01-01T05:00:00+0000
India,1958-01-01T05:00:00+0000
Cuba,1958-01-01T05:00:00+0000
Cuba,1958-01-01T05:00:00+0000
Canada,1958-01-01T05:00:00+0000
China,1958-01-01T05:00:00+0000
Italy,1958-01-01T05:00:00+0000
Japan,1958-01-01T05:00:00+0000
Japan,1958-01-01T05:00:00+0000
Japan,1958-01-01T05:00:00+0000
Puerto Rico,1958-01-01T05:00:00+0000
Mexico,1958-01-01T05:00:00+0000
Mexico,1958-01-01T05:00:00+0000
Hungary,1958-01-01T05:00:00+0000
Malta,1958-01-01T05:00:00+0000
Morocco,1958-01-02T05:00:00+0000
Indonesia,1958-01-02T05:00:00+0000
Iraq,1958-01-02T05:00:00+0000
Nicaragua,1958-01-02T05:00:00+0000
Venezuela,1958-01-02T05:00:00+0000
New Zealand,1958-01-02T05:00:00+0000
New Zealand,1958-01-02T05:00:00+0000
Egypt,1958-01-02T05:00:00+0000
Cuba,1958-01-02T05:00:00+0000
Peru,1958-01-02T05:00:00+0000
Peru,1958-01-02T05:00:00+0000
Hungary,1958-01-02T05:00:00+0000
Chile,1958-01-02T05:00:00+0000
Hungary,1958-01-02T05:00:00+0000
Spain,1958-01-02T05:00:00+0000
Spain,1958-01-02T05:00:00+0000
Poland,1958-01-02T05:00:00+0000
India,1958-01-02T05:00:00+0000
Venezuela,1958-01-02T05:00:00+0000
Venezuela,1958-01-02T05:00:00+0000
Venezuela,1958-01-02T05:00:00+0000
Venezuela,1958-01-02T05:00:00+0000
Germany,1958-01-02T05:00:00+0000
Germany,1958-01-02T05:00:00+0000
Iran,1958-01-02T05:00:00+0000
China,1958-01-02T05:00:00+0000
India,1958-01-02T05:00:00+0000
France,1958-01-02T05:00:00+0000
Bermuda,1958-01-02T05:00:00+0000
Cyprus,1958-01-02T05:00:00+0000
Venezuela,1958-01-02T05:00:00+0000
Germany,1958-01-03T05:00:00+0000
Japan,1958-01-03T05:00:00+0000
Venezuela,1958-01-03T05:00:00+0000
Germany,1958-01-03T05:00:00+0000
Cuba,1958-01-03T05:00:00+0000
France,1958-01-03T05:00:00+0000
Venezuela,1958-01-03T05:00:00+0000
Venezuela,1958-01-03T05:00:00+0000
India,1958-01-03T05:00:00+0000
Canada,1958-01-03T05:00:00+0000
Spain,1958-01-03T05:00:00+0000
Spain,1958-01-03T05:00:00+0000
