country,date
Singapore,2006-01-01T05:00:00+0000
Iraq,2006-01-01T05:00:00+0000
South Africa,2006-01-01T05:00:00+0000
Belgium,2006-01-01T05:00:00+0000
India,2006-01-01T05:00:00+0000
China,2006-01-01T05:00:00+0000
Iraq,2006-01-01T05:00:00+0000
Italy,2006-01-01T05:00:00+0000
Egypt,2006-01-01T05:00:00+0000
Syria,2006-01-01T05:00:00+0000
Sri Lanka,2006-01-01T05:00:00+0000
France,2006-01-01T05:00:00+0000
Russia,2006-01-01T05:00:00+0000
Ukraine,2006-01-01T05:00:00+0000
Belarus,2006-01-01T05:00:00+0000
Ukraine,2006-01-01T05:00:00+0000
Sri Lanka,2006-01-01T05:00:00+0000
Guatemala,2006-01-01T05:00:00+0000
Lebanon,2006-01-01T05:00:00+0000
Syria,2006-01-01T05:00:00+0000
France,2006-01-01T05:00:00+0000
Pakistan,2006-01-01T05:00:00+0000
Indonesia,2006-01-01T05:00:00+0000
Iraq,2006-01-01T05:00:00+0000
Japan,2006-01-01T05:00:00+0000
Ukraine,2006-01-01T05:00:00+0000
Iraq,2006-01-01T05:00:00+0000
Saudi Arabia,2006-01-01T05:00:00+0000
Iraq,2006-01-01T05:00:00+0000
Taiwan,2006-01-01T05:00:00+0000
China,2006-01-01T05:00:00+0000
Iraq,2006-01-01T05:00:00+0000
Israel,2006-01-01T05:00:00+0000
Nigeria,2006-01-01T05:00:00+0000
Netherlands,2006-01-01T05:00:00+0000
Japan,2006-01-01T05:00:00+0000
Russia,2006-01-01T05:00:00+0000
Ukraine,2006-01-01T05:00:00+0000
Australia,2006-01-01T05:00:00+0000
Egypt,2006-01-01T05:00:00+0000
Sudan,2006-01-01T05:00:00+0000
Zimbabwe,2006-01-01T05:00:00+0000
Pakistan,2006-01-01T05:00:00+0000
Cuba,2006-01-01T05:00:00+0000
Singapore,2006-01-01T06:24:00+0000
Iraq,2006-01-02T05:00:00+0000
Japan,2006-01-02T05:00:00+0000
Iraq,2006-01-02T05:00:00+0000
New Zealand,2006-01-02T05:00:00+0000
Russia,2006-01-02T05:00:00+0000
Ukraine,2006-01-02T05:00:00+0000
Russia,2006-01-02T05:00:00+0000
Ukraine,2006-01-02T05:00:00+0000
Iraq,2006-01-02T05:00:00+0000
Iraq,2006-01-02T05:00:00+0000
Israel,2006-01-02T05:00:00+0000
Iraq,2006-01-02T05:00:00+0000
Syria,2006-01-02T05:00:00+0000
Lebanon,2006-01-02T05:00:00+0000
Spain,2006-01-02T05:00:00+0000
Pakistan,2006-01-02T05:00:00+0000
Croatia,2006-01-02T05:00:00+0000
Iraq,2006-01-02T05:00:00+0000
Egypt,2006-01-02T05:00:00+0000
Sudan,2006-01-02T05:00:00+0000
India,2006-01-02T05:00:00+0000
China,2006-01-02T05:00:00+0000
Taiwan,2006-01-02T05:00:00+0000
China,2006-01-02T05:00:00+0000
Germany,2006-01-02T05:00:00+0000
Iraq,2006-01-02T05:00:00+0000
Israel,2006-01-02T05:00:00+0000
Russia,2006-01-02T05:00:00+0000
Australia,2006-01-02T06:41:00+0000
Iran,2006-01-03T05:00:00+0000
Germany,2006-01-03T05:00:00+0000
Mexico,2006-01-03T05:00:00+0000
Israel,2006-01-03T05:00:00+0000
Uganda,2006-01-03T05:00:00+0000
Germany,2006-01-03T05:00:00+0000
New Zealand,2006-01-03T05:00:00+0000
China,2006-01-03T05:00:00+0000
Iraq,2006-01-03T05:00:00+0000
Italy,2006-01-03T05:00:00+0000
Russia,2006-01-03T05:00:00+0000
Ukraine,2006-01-03T05:00:00+0000
Russia,2006-01-03T05:00:00+0000
Ukraine,2006-01-03T05:00:00+0000
Russia,2006-01-03T05:00:00+0000
Ukraine,2006-01-03T05:00:00+0000
India,2006-01-03T05:00:00+0000
Lebanon,2006-01-03T05:00:00+0000
Syria,2006-01-03T05:00:00+0000
Russia,2006-01-03T05:00:00+0000
France,2006-01-03T05:00:00+0000
