iso3,num_occurences
ATG,2
AUS,195
AUT,76
AZE,10
BHR,23
BGD,36
BRB,2
BLR,24
BEL,52
BLZ,4
BEN,3
BMU,48
BTN,1
BOL,15
BIH,107
BWA,4
BRA,317
BRN,2
BGR,12
BDI,9
KHM,71
CMR,7
CAN,517
CYM,8
CAF,2
TCD,7
CHL,45
CHN,754
COL,138
CRI,19
HRV,62
CUB,141
CYP,80
CZE,100
DNK,46
DJI,5
DMA,1
DOM,18
ECU,36
EGY,164
SLV,22
GNQ,1
ERI,11
EST,17
ETH,20
FLK,3
FRO,1
FJI,4
FIN,38
FRA,817
GAB,1
GMB,2
GEO,90
DEU,808
GHA,18
GIB,8
GRC,95
GRL,4
GRD,1
GTM,52
GIN,6
GUY,6
HTI,36
HND,15
HKG,129
HUN,46
ISL,17
IND,552
IDN,219
IRN,291
IRQ,1567
IRL,186
ISR,1919
ITA,357
JAM,7
JPN,932
JOR,56
KAZ,32
KEN,105
KWT,56
KGZ,21
LVA,23
LBN,43
LSO,6
LBR,8
LBY,28
LIE,4
LTU,33
LUX,7
MAC,3
MKD,5
MDG,23
MWI,10
MYS,76
MLI,9
MLT,11
MHL,1
MTQ,1
MRT,2
MUS,2
MEX,425
MDA,11
MCO,10
MNG,3
MNE,7
MSR,1
MAR,38
MOZ,12
MMR,59
NAM,3
NRU,1
NPL,49
NLD,128
KNA,3
NZL,45
NIC,6
NER,1
NGA,70
MNP,1
NOR,70
OMN,2
PAK,647
PAN,8
PNG,5
PRY,14
PER,51
PHL,138
POL,146
PRT,38
PRI,33
QAT,23
ROU,32
RUS,1050
RWA,51
WSM,2
SAU,307
SEN,22
SRB,158
SLE,14
SGP,92
SVK,26
SVN,16
SOM,35
ZAF,147
ESP,212
LKA,52
SDN,49
SUR,1
SWZ,4
SWE,133
CHE,193
SYR,57
TWN,131
TJK,8
TZA,32
THA,78
TON,2
TTO,1
TTO,7
TUN,26
TUR,178
TKM,18
UGA,22
UKR,68
ARE,14
URY,16
UZB,16
VUT,1
VAT,3
VEN,143
VNM,67
YEM,74
ZMB,31
ZWE,121
